agent_model,judge_model,protocol,runs,avg_overall_quality_score,avg_judge_capped_quality_score,avg_accuracy_norm,avg_completeness_norm,avg_helpfulness_norm,avg_hallucination_rate,avg_runtime_seconds,avg_input_tokens,avg_output_tokens,avg_total_tokens,avg_max_total_tokens,avg_final_writer_reserve_tokens,avg_budget_remaining_tokens,avg_budget_overrun_tokens,avg_budget_utilization,avg_budget_limited_call_count,avg_budget_skipped_call_count,avg_estimated_cost,avg_active_agent_count,avg_interaction_count,avg_model_call_count,avg_rounds_completed,avg_message_count,avg_communication_density,avg_agreement_rate,avg_critique_acceptance_rate,avg_tool_access_used,avg_tool_requirement_satisfied,avg_tool_surface_matches_benchmark,avg_tool_expectations_satisfied,avg_unauthorized_tool_call_count,avg_score_eligible,avg_evidence_policy_satisfied,avg_tool_call_count,avg_successful_tool_call_count,avg_successful_authorized_tool_call_count,avg_successful_substantive_tool_call_count,avg_successful_discovery_tool_call_count,avg_substantive_source_count,avg_discovery_source_count,avg_academic_record_count,avg_identifier_record_count,avg_local_document_count,avg_citation_traceability_rate,avg_unaccessed_citation_count,avg_quality_token_ratio,avg_quality_api_cost_ratio,avg_uncapped_quality_score,avg_judge_reported_score_cap,avg_judge_evidence_score_cap,avg_judge_score_cap,avg_evidence_score_cap,avg_overall_score_cap,avg_quality_judge_input_tokens,avg_quality_judge_output_tokens,avg_quality_judge_total_tokens,avg_quality_judge_estimated_cost,avg_failure_analyzer_input_tokens,avg_failure_analyzer_output_tokens,avg_failure_analyzer_total_tokens,avg_failure_analyzer_estimated_cost,avg_scorer_input_tokens,avg_scorer_output_tokens,avg_scorer_total_tokens,avg_judge_estimated_cost,avg_total_estimated_cost,avg_failure_count,runs_with_any_failure,multi_failure_runs,no_failure_run_count,no_failure_run_rate,coordination_failure_run_count,coordination_failure_run_rate,communication_failure_run_count,communication_failure_run_rate,role_confusion_run_count,role_confusion_run_rate,hallucination_propagation_run_count,hallucination_propagation_run_rate,premature_consensus_run_count,premature_consensus_run_rate,over_collaboration_run_count,over_collaboration_run_rate,manager_bottleneck_run_count,manager_bottleneck_run_rate,noise_accumulation_run_count,noise_accumulation_run_rate,other_failure_run_count,other_failure_run_rate
gpt-3.5-turbo,gpt-4o-mini,Debate,6,0.533683,0.558683,0.416667,0.570583,0.458333,0.0,29.161667,15396.5,2044.0,17440.5,100000.0,20000.0,82559.5,0.0,0.174417,0.0,0.0,0.010764,4.0,7.0,11.666667,2.0,6.0,1.5,,,0.166667,0.833333,1.0,1.0,0.0,0.833333,0.666667,4.666667,0.166667,0.166667,0.166667,0.0,0.333333,0.0,0.0,0.0,0.0,,0.0,5e-05,53.286663,0.558683,0.666667,0.666667,1.0,0.75,0.75,3786.0,777.0,4563.0,0.001034,6082.5,476.333333,6558.833333,0.001198,9868.5,1253.333333,11121.833333,0.002232,0.012997,0.5,3,0,3,0.5,3,0.5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
gpt-3.5-turbo,gpt-4o-mini,Dynamic Task Allocation,6,0.47125,0.52125,0.375,0.55,0.375,0.0,41.297,28464.166667,2577.0,31041.166667,100000.0,20000.0,68958.833333,0.0,0.310417,0.0,0.0,0.018098,6.0,11.0,18.666667,3.0,10.0,1.6667,,,0.0,0.666667,1.0,1.0,0.0,0.666667,0.666667,7.666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,2.7e-05,33.59728,0.52125,0.583333,0.666667,1.0,0.666667,0.666667,3793.5,803.0,4596.5,0.001051,7326.833333,502.0,7828.833333,0.0014,11120.333333,1305.0,12425.333333,0.002451,0.020549,1,4,2,2,0.333333,4,0.666667,0,0.0,0,0.0,0,0.0,0,0.0,2,0.333333,0,0.0,0,0.0,0,0.0
gpt-3.5-turbo,gpt-4o-mini,Manager-Worker,6,0.529717,0.554717,0.458333,0.508817,0.458333,0.0,33.2015,16208.166667,2589.666667,18797.833333,100000.0,20000.0,81202.166667,0.0,0.187967,0.0,0.0,0.011989,6.0,8.0,13.0,3.0,7.0,1.1667,,,0.166667,0.833333,1.0,1.0,0.0,0.833333,0.666667,5.0,0.166667,0.166667,0.166667,0.0,0.166667,0.0,0.0,0.0,0.0,,0.0,4e-05,42.822936,0.554717,0.616667,0.5,1.0,0.75,0.75,3656.5,784.833333,4441.333333,0.001019,6894.166667,546.666667,7440.833333,0.001362,10550.666667,1331.5,11882.166667,0.002381,0.01437,0.833333,5,0,1,0.166667,5,0.833333,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
gpt-3.5-turbo,gpt-4o-mini,Sequential Handoff,6,0.5271,0.5271,0.416667,0.493133,0.416667,0.0,16.317333,8432.166667,1355.333333,9787.5,100000.0,20000.0,90212.5,0.0,0.09785,0.0,0.0,0.006249,4.0,4.0,5.666667,1.0,3.0,0.75,,,0.333333,1.0,1.0,1.0,0.0,1.0,0.833333,1.666667,0.666667,0.666667,0.666667,0.0,1.666667,0.0,1.5,1.5,0.0,0.0,1.0,0.000114,94.127794,0.5271,0.75,0.666667,1.0,0.916667,0.916667,3818.833333,746.333333,4565.166667,0.001021,4503.833333,274.5,4778.333333,0.00084,8322.666667,1020.833333,9343.5,0.001861,0.00811,0.833333,5,0,1,0.166667,0,0.0,4,0.666667,1,0.166667,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
gpt-3.5-turbo,gpt-4o-mini,Shared Blackboard,6,0.697567,0.697567,0.625,0.6794,0.625,0.0,44.2955,30378.166667,3342.166667,33720.333333,100000.0,20000.0,66279.666667,0.0,0.3372,0.166667,0.166667,0.020202,5.0,9.0,13.5,2.0,8.0,1.6,,,0.333333,1.0,1.0,1.0,0.0,1.0,0.833333,4.666667,1.666667,1.666667,1.666667,0.0,1.5,0.0,1.333333,1.333333,0.0,0.0,1.0,3e-05,39.024444,0.697567,0.833333,0.916667,1.0,0.916667,0.916667,3954.166667,787.0,4741.166667,0.001065,7740.5,503.666667,8244.166667,0.001463,11694.666667,1290.666667,12985.333333,0.002529,0.022731,1.166667,4,2,2,0.333333,2,0.333333,1,0.166667,0,0.0,0,0.0,0,0.0,4,0.666667,0,0.0,0,0.0,0,0.0
gpt-3.5-turbo,gpt-4o-mini,Single Agent,6,0.647883,0.672883,0.583333,0.673533,0.583333,0.0,7.6915,2003.833333,787.0,2790.833333,100000.0,0.0,97209.166667,0.0,0.0279,0.0,0.0,0.002182,1.0,1.0,2.0,1.0,0.0,0.0,,,0.166667,0.833333,1.0,1.0,0.0,0.833333,0.833333,1.0,0.166667,0.166667,0.166667,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.000429,187.844321,0.672883,0.75,0.75,1.0,0.833333,0.833333,4094.666667,784.666667,4879.333333,0.001085,3121.0,82.833333,3203.833333,0.000518,7215.666667,867.5,8083.166667,0.001603,0.003785,0.5,3,0,3,0.5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3,0.5
gpt-3.5-turbo,gpt-4o-mini,Unstructured Group Chat,6,0.485217,0.485217,0.375,0.471567,0.375,0.083333,42.782833,34980.0,2871.166667,37851.166667,100000.0,20000.0,62148.833333,0.0,0.378517,0.0,0.0,0.021797,5.0,13.0,18.166667,3.0,12.0,2.4,,,0.333333,1.0,1.0,1.0,0.0,1.0,0.833333,5.166667,0.5,0.5,0.5,0.0,1.5,0.0,1.333333,1.333333,0.0,0.0,1.0,1.8e-05,25.487966,0.485217,0.583333,0.5,1.0,0.916667,0.916667,3832.666667,796.5,4629.166667,0.001053,7796.166667,510.166667,8306.333333,0.001476,11628.833333,1306.666667,12935.5,0.002528,0.024325,1,6,0,0,0.0,2,0.333333,0,0.0,0,0.0,0,0.0,0,0.0,4,0.666667,0,0.0,0,0.0,0,0.0
gpt-3.5-turbo,gpt-4o-mini,Voting,6,0.535417,0.585417,0.458333,0.583333,0.5,0.0,35.948667,21787.166667,2587.333333,24374.5,100000.0,0.0,75625.5,0.0,0.24375,0.0,0.0,0.014775,4.0,8.0,15.0,2.0,8.0,2.0,0.6875,,0.0,0.666667,1.0,1.0,0.0,0.666667,0.666667,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,2.6e-05,33.227825,0.585417,0.616667,0.666667,1.0,0.666667,0.666667,3846.333333,817.5,4663.833333,0.001067,7275.166667,351.833333,7627.0,0.001302,11121.5,1169.333333,12290.833333,0.00237,0.017144,1.333333,6,2,0,0.0,0,0.0,1,0.166667,1,0.166667,0,0.0,5,0.833333,0,0.0,0,0.0,0,0.0,1,0.166667
