agent_model,judge_model,protocol,runs,avg_overall_quality_score,avg_judge_capped_quality_score,avg_accuracy_norm,avg_completeness_norm,avg_helpfulness_norm,avg_hallucination_rate,avg_runtime_seconds,avg_input_tokens,avg_output_tokens,avg_total_tokens,avg_max_total_tokens,avg_final_writer_reserve_tokens,avg_budget_remaining_tokens,avg_budget_overrun_tokens,avg_budget_utilization,avg_budget_limited_call_count,avg_budget_skipped_call_count,avg_estimated_cost,avg_active_agent_count,avg_interaction_count,avg_model_call_count,avg_rounds_completed,avg_message_count,avg_communication_density,avg_agreement_rate,avg_critique_acceptance_rate,avg_tool_access_used,avg_tool_requirement_satisfied,avg_tool_surface_matches_benchmark,avg_tool_expectations_satisfied,avg_unauthorized_tool_call_count,avg_score_eligible,avg_evidence_policy_satisfied,avg_tool_call_count,avg_successful_tool_call_count,avg_successful_authorized_tool_call_count,avg_successful_substantive_tool_call_count,avg_successful_discovery_tool_call_count,avg_substantive_source_count,avg_discovery_source_count,avg_academic_record_count,avg_identifier_record_count,avg_local_document_count,avg_citation_traceability_rate,avg_unaccessed_citation_count,avg_quality_token_ratio,avg_quality_api_cost_ratio,avg_uncapped_quality_score,avg_judge_reported_score_cap,avg_judge_evidence_score_cap,avg_judge_score_cap,avg_evidence_score_cap,avg_overall_score_cap,avg_quality_judge_input_tokens,avg_quality_judge_output_tokens,avg_quality_judge_total_tokens,avg_quality_judge_estimated_cost,avg_failure_analyzer_input_tokens,avg_failure_analyzer_output_tokens,avg_failure_analyzer_total_tokens,avg_failure_analyzer_estimated_cost,avg_scorer_input_tokens,avg_scorer_output_tokens,avg_scorer_total_tokens,avg_judge_estimated_cost,avg_total_estimated_cost,avg_failure_count,runs_with_any_failure,multi_failure_runs,no_failure_run_count,no_failure_run_rate,coordination_failure_run_count,coordination_failure_run_rate,communication_failure_run_count,communication_failure_run_rate,role_confusion_run_count,role_confusion_run_rate,hallucination_propagation_run_count,hallucination_propagation_run_rate,premature_consensus_run_count,premature_consensus_run_rate,over_collaboration_run_count,over_collaboration_run_rate,manager_bottleneck_run_count,manager_bottleneck_run_rate,noise_accumulation_run_count,noise_accumulation_run_rate,other_failure_run_count,other_failure_run_rate
gpt-4o-mini,deepseek-v4-pro,Debate,24,0.647592,0.671238,0.604167,0.715075,0.583333,0.142708,88.562625,39808.541667,6807.333333,46615.875,400000.0,50000.0,353384.125,0.0,0.116538,0.0,0.0,0.010056,4.0,7.0,13.5,2.0,6.0,1.5,,,0.25,0.958333,1.0,1.0,0.0,0.958333,0.916667,6.5,2.375,2.375,1.375,0.958333,1.916667,1.208333,0.625,0.416667,0.0,0.652767,0.625,3.1e-05,48.301289,0.671238,0.779167,0.875,1.0,0.9375,0.9375,4037.083333,1003.125,5040.208333,0.002629,11153.958333,736.041667,11890.0,0.005492,15191.041667,1739.166667,16930.208333,0.008121,0.018177,0.5,11,1,13,0.541667,0,0.0,0,0.0,0,0.0,11,0.458333,1,0.041667,0,0.0,0,0.0,0,0.0,0,0.0
gpt-4o-mini,deepseek-v4-pro,Dynamic Task Allocation,24,0.646829,0.650267,0.583333,0.688392,0.572917,0.166667,119.69175,71689.666667,8228.208333,79917.875,400000.0,50000.0,320082.125,0.0,0.199792,0.0,0.0,0.01569,6.0,11.0,20.375,3.0,10.0,1.6667,,,0.291667,1.0,1.0,1.0,0.0,1.0,0.875,9.375,3.041667,3.041667,1.75,1.291667,2.5,1.166667,1.708333,0.833333,0.0,0.75,0.291667,1.7e-05,35.825168,0.650267,0.775,0.854167,1.0,0.9375,0.9375,3987.958333,990.291667,4978.25,0.002596,13472.166667,976.5,14448.666667,0.00671,17460.125,1966.791667,19426.916667,0.009306,0.024997,3.791667,23,22,1,0.041667,16,0.666667,0,0.0,20,0.833333,9,0.375,6,0.25,21,0.875,0,0.0,19,0.791667,0,0.0
gpt-4o-mini,deepseek-v4-pro,Manager-Worker,24,0.620583,0.653154,0.572917,0.709408,0.5625,0.15125,77.593208,32562.0,6737.0,39299.0,400000.0,50000.0,360701.0,0.0,0.098246,0.0,0.0,0.008927,6.0,8.0,14.333333,3.0,7.0,1.1667,,,0.25,0.958333,1.0,1.0,0.0,0.958333,0.833333,6.333333,2.166667,2.166667,1.166667,1.0,1.083333,1.333333,0.416667,0.416667,0.0,0.472217,0.875,3e-05,46.255817,0.653154,0.795833,0.895833,1.0,0.8875,0.8875,4020.833333,1000.125,5020.958333,0.002619,11312.791667,900.125,12212.916667,0.005704,15333.625,1900.25,17233.875,0.008323,0.01725,2.041667,13,11,11,0.458333,9,0.375,3,0.125,9,0.375,9,0.375,1,0.041667,2,0.083333,11,0.458333,5,0.208333,0,0.0
gpt-4o-mini,deepseek-v4-pro,Sequential Handoff,24,0.619196,0.635583,0.552083,0.699104,0.5625,0.147083,43.604417,14956.958333,3479.541667,18436.5,400000.0,50000.0,381563.5,0.0,0.046079,0.0,0.0,0.004331,4.0,4.0,7.083333,1.0,3.0,0.75,,,0.25,0.916667,1.0,1.0,0.0,0.916667,0.875,3.083333,1.208333,1.208333,0.625,0.583333,0.833333,1.333333,0.416667,0.416667,0.0,0.476186,0.833333,6.8e-05,75.529991,0.643396,0.808333,0.916667,0.958333,0.891667,0.891667,3975.791667,975.375,4951.166667,0.002578,6875.0,391.166667,7266.166667,0.003331,10850.791667,1366.541667,12217.333333,0.005909,0.01024,0.833333,13,6,11,0.458333,0,0.0,4,0.166667,4,0.166667,12,0.5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
gpt-4o-mini,deepseek-v4-pro,Shared Blackboard,24,0.594854,0.611208,0.520833,0.655408,0.520833,0.145833,85.609875,68192.833333,7116.75,75309.583333,400000.0,50000.0,324690.416667,0.0,0.188271,0.0,0.0,0.014499,5.0,9.0,17.416667,2.0,8.0,1.6,,,0.25,0.958333,1.0,1.0,0.0,0.958333,0.875,8.416667,2.75,2.75,1.583333,1.166667,1.5,1.333333,0.416667,0.416667,0.0,0.625,0.333333,1.7e-05,37.457009,0.611208,0.75,0.854167,1.0,0.916667,0.916667,3931.083333,1014.666667,4945.75,0.002593,11922.958333,778.0,12700.958333,0.005863,15854.041667,1792.666667,17646.708333,0.008456,0.022955,1.333333,16,9,8,0.333333,2,0.083333,0,0.0,5,0.208333,6,0.25,0,0.0,13,0.541667,0,0.0,5,0.208333,1,0.041667
gpt-4o-mini,deepseek-v4-pro,Single Agent,24,0.571942,0.644408,0.5625,0.707675,0.552083,0.167917,12.360208,2344.666667,1074.958333,3419.625,400000.0,0.0,396580.375,0.0,0.008542,0.0,0.0,0.000997,1.0,1.0,2.125,1.0,0.0,0.0,,,0.166667,0.833333,1.0,1.0,0.0,0.833333,0.791667,1.125,0.375,0.375,0.166667,0.208333,0.666667,0.916667,0.0,0.0,0.0,0.416667,0.625,0.000467,131.540039,0.644408,0.75,0.8125,1.0,0.8125,0.8125,4044.833333,988.375,5033.208333,0.002619,3456.041667,150.375,3606.416667,0.001634,7500.875,1138.75,8639.625,0.004254,0.00525,0.583333,14,0,10,0.416667,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,14,0.583333
gpt-4o-mini,deepseek-v4-pro,Unstructured Group Chat,24,0.606104,0.620179,0.53125,0.671783,0.541667,0.170833,117.572292,126749.083333,9632.958333,136382.041667,400000.0,50000.0,263617.958333,0.0,0.340958,0.041667,0.0,0.024792,5.0,13.0,25.333333,3.0,12.0,2.4,,,0.25,0.958333,1.0,1.0,0.0,0.958333,0.916667,12.333333,3.583333,3.583333,2.5,1.083333,1.916667,1.25,0.625,0.416667,0.0,0.857143,0.208333,1e-05,27.870849,0.620179,0.779167,0.854167,1.0,0.9375,0.9375,3967.166667,1036.958333,5004.125,0.002628,15121.375,898.333333,16019.708333,0.007359,19088.541667,1935.291667,21023.833333,0.009987,0.034779,2.833333,24,20,0,0.0,2,0.083333,1,0.041667,6,0.25,9,0.375,6,0.25,24,1.0,0,0.0,20,0.833333,0,0.0
gpt-4o-mini,deepseek-v4-pro,Voting,24,0.633392,0.669067,0.59375,0.720083,0.614583,0.184583,69.751417,37556.541667,4333.5,41890.041667,400000.0,0.0,358109.958333,0.0,0.104717,0.0,0.0,0.008234,4.0,8.0,13.791667,2.0,8.0,2.0,0.875,,0.208333,0.916667,1.0,1.0,0.0,0.916667,0.833333,5.791667,1.666667,1.666667,0.791667,0.875,1.25,1.0,0.208333,0.0,0.0,0.43055,0.791667,3.3e-05,57.154568,0.669067,0.833333,0.870833,1.0,0.875,0.875,4038.083333,987.458333,5025.541667,0.002616,9867.5,472.25,10339.75,0.004703,13905.583333,1459.708333,15365.291667,0.007319,0.015552,0.375,8,1,16,0.666667,0,0.0,0,0.0,0,0.0,8,0.333333,1,0.041667,0,0.0,0,0.0,0,0.0,0,0.0
