agent_model,judge_model,protocol,runs,avg_overall_quality_score,avg_judge_capped_quality_score,avg_accuracy_norm,avg_completeness_norm,avg_helpfulness_norm,avg_hallucination_rate,avg_runtime_seconds,avg_input_tokens,avg_output_tokens,avg_total_tokens,avg_max_total_tokens,avg_final_writer_reserve_tokens,avg_budget_remaining_tokens,avg_budget_overrun_tokens,avg_budget_utilization,avg_budget_limited_call_count,avg_budget_skipped_call_count,avg_estimated_cost,avg_active_agent_count,avg_interaction_count,avg_model_call_count,avg_rounds_completed,avg_message_count,avg_communication_density,avg_agreement_rate,avg_critique_acceptance_rate,avg_tool_access_used,avg_tool_requirement_satisfied,avg_tool_surface_matches_benchmark,avg_tool_expectations_satisfied,avg_unauthorized_tool_call_count,avg_score_eligible,avg_evidence_policy_satisfied,avg_tool_call_count,avg_successful_tool_call_count,avg_successful_authorized_tool_call_count,avg_successful_substantive_tool_call_count,avg_successful_discovery_tool_call_count,avg_substantive_source_count,avg_discovery_source_count,avg_academic_record_count,avg_identifier_record_count,avg_local_document_count,avg_citation_traceability_rate,avg_unaccessed_citation_count,avg_quality_token_ratio,avg_quality_api_cost_ratio,avg_uncapped_quality_score,avg_judge_reported_score_cap,avg_judge_evidence_score_cap,avg_judge_score_cap,avg_evidence_score_cap,avg_overall_score_cap,avg_scorer_input_tokens,avg_scorer_output_tokens,avg_scorer_total_tokens,avg_judge_estimated_cost,avg_total_estimated_cost,avg_single_agent_baseline_score,avg_relative_score_drop,avg_relative_failure_suspected
gpt-4o-mini,gpt-5.4-mini,Shared Blackboard,3,0.533967,0.533967,0.416667,0.557633,0.416667,0.083333,81.187,60555.333333,4725.333333,65280.666667,100000.0,20000.0,34719.333333,0.0,0.6528,1.666667,1.666667,0.011919,5.0,9.0,17.0,2.0,8.0,1.6,,,0.666667,1.0,1.0,1.0,0.0,1.0,0.666667,9.666667,8.333333,8.333333,2.666667,5.333333,5.666667,7.333333,4.666667,4.666667,0.0,0.8571,0.333333,1.3e-05,24.389758,0.533967,1.0,0.833333,1.0,0.833333,0.833333,14291.666667,696.666667,14988.333333,0.013854,0.025772,0.8225,0.10205,0.333333
gpt-4o-mini,gpt-5.4-mini,Single Agent,3,0.548333,0.669167,0.583333,0.769433,0.583333,0.216667,11.463333,4292.333333,733.666667,5026.0,100000.0,0.0,94974.0,0.0,0.050233,0.0,0.0,0.001084,1.0,1.0,2.666667,1.0,0.0,0.0,,,0.666667,0.666667,1.0,1.0,0.0,0.666667,0.666667,1.666667,1.333333,1.333333,0.333333,1.0,1.666667,5.0,1.666667,1.666667,0.0,0.4,0.666667,0.000378,67.075756,0.669167,1.0,0.666667,1.0,0.666667,0.666667,7113.666667,764.0,7877.666667,0.008773,0.009857,0.8225,0.0,0.0
gpt-4o-mini,gpt-5.4-mini,Voting,3,0.545167,0.6735,0.583333,0.805567,0.583333,0.26,54.916,49185.666667,2919.666667,52105.333333,100000.0,0.0,47894.666667,0.0,0.521067,0.0,0.0,0.00913,4.0,8.0,18.0,2.0,8.0,2.0,0.916667,,0.666667,0.666667,1.0,1.0,0.0,0.666667,0.666667,10.0,8.0,8.0,2.0,6.0,10.0,6.666667,10.0,5.0,0.0,0.5,0.0,2.4e-05,33.29231,0.6735,1.0,0.666667,1.0,0.666667,0.666667,13925.666667,721.666667,14647.333333,0.013692,0.022821,0.8225,0.00735,0.0
