agent_model,judge_model,protocol,runs,avg_overall_quality_score,avg_judge_capped_quality_score,avg_accuracy_norm,avg_completeness_norm,avg_helpfulness_norm,avg_hallucination_rate,avg_runtime_seconds,avg_input_tokens,avg_output_tokens,avg_total_tokens,avg_max_total_tokens,avg_final_writer_reserve_tokens,avg_budget_remaining_tokens,avg_budget_overrun_tokens,avg_budget_utilization,avg_budget_limited_call_count,avg_budget_skipped_call_count,avg_estimated_cost,avg_active_agent_count,avg_interaction_count,avg_model_call_count,avg_rounds_completed,avg_message_count,avg_communication_density,avg_agreement_rate,avg_critique_acceptance_rate,avg_tool_access_used,avg_tool_requirement_satisfied,avg_tool_surface_matches_benchmark,avg_tool_expectations_satisfied,avg_unauthorized_tool_call_count,avg_score_eligible,avg_evidence_policy_satisfied,avg_tool_call_count,avg_successful_tool_call_count,avg_successful_authorized_tool_call_count,avg_successful_substantive_tool_call_count,avg_successful_discovery_tool_call_count,avg_substantive_source_count,avg_discovery_source_count,avg_academic_record_count,avg_identifier_record_count,avg_local_document_count,avg_citation_traceability_rate,avg_unaccessed_citation_count,avg_quality_token_ratio,avg_quality_api_cost_ratio,avg_uncapped_quality_score,avg_judge_reported_score_cap,avg_judge_evidence_score_cap,avg_judge_score_cap,avg_evidence_score_cap,avg_overall_score_cap,avg_scorer_input_tokens,avg_scorer_output_tokens,avg_scorer_total_tokens,avg_judge_estimated_cost,avg_total_estimated_cost,avg_single_agent_baseline_score,avg_relative_score_drop,avg_relative_failure_suspected
gpt-4o-mini,gpt-5.4-mini,Debate,6,0.609317,0.609317,0.5,0.656017,0.5,0.083333,86.622167,33804.833333,5414.5,39219.333333,100000.0,20000.0,60780.666667,0.0,0.3922,0.166667,0.166667,0.008319,4.0,7.0,13.166667,2.0,6.0,1.5,,,0.333333,1.0,1.0,1.0,0.0,1.0,0.666667,6.333333,1.5,1.5,1.5,0.0,3.666667,0.0,3.0,3.0,0.0,,0.0,2.8e-05,32.17953,0.609317,0.833333,0.833333,1.0,0.833333,0.833333,13839.0,878.5,14717.5,0.014332,0.022652,0.55766,0.0,0.0
gpt-4o-mini,gpt-5.4-mini,Dynamic Task Allocation,4,0.686675,0.686675,0.625,0.784725,0.5625,0.2,100.94225,43903.75,7443.0,51346.75,100000.0,20000.0,48653.25,0.0,0.513475,1.25,1.25,0.011051,6.0,11.0,13.5,3.0,10.0,1.6667,,,0.25,1.0,1.0,1.0,0.0,1.0,0.75,3.75,1.75,1.75,1.75,0.0,7.5,0.0,7.5,7.25,0.0,,0.0,1.7e-05,27.609811,0.686675,0.875,0.875,1.0,0.875,0.875,17867.5,942.0,18809.5,0.01764,0.028691,0.59625,0.003075,0.0
gpt-4o-mini,gpt-5.4-mini,Manager-Worker,6,0.586117,0.586117,0.458333,0.681483,0.5,0.191667,92.856667,28642.333333,5852.333333,34494.666667,100000.0,20000.0,65505.333333,0.0,0.344933,0.0,0.0,0.007808,6.0,8.0,14.333333,3.0,7.0,1.1667,,,0.333333,1.0,1.0,1.0,0.0,1.0,1.0,6.333333,2.5,2.5,2.5,0.0,3.833333,0.0,3.0,3.0,0.0,0.6875,0.5,2.9e-05,30.083078,0.586117,0.916667,0.916667,1.0,1.0,1.0,14483.166667,891.833333,15375.0,0.014876,0.022683,0.55766,0.0043,0.0
gpt-4o-mini,gpt-5.4-mini,Sequential Handoff,6,0.447083,0.460833,0.333333,0.579167,0.333333,0.308333,44.761333,14267.833333,3001.0,17268.833333,100000.0,20000.0,82731.166667,0.0,0.1727,0.0,0.0,0.003941,4.0,4.0,7.0,1.0,3.0,0.75,,,0.166667,0.833333,1.0,1.0,0.0,0.833333,0.666667,3.0,0.5,0.5,0.5,0.0,1.666667,0.0,1.666667,1.666667,0.0,,0.0,5e-05,33.463051,0.460833,0.75,0.75,1.0,0.75,0.75,10212.666667,867.166667,11079.833333,0.011562,0.015503,0.55766,0.06656,0.166667
gpt-4o-mini,gpt-5.4-mini,Shared Blackboard,6,0.50235,0.50235,0.375,0.5537,0.375,0.133333,94.3905,46310.5,5935.166667,52245.666667,100000.0,20000.0,47754.333333,0.0,0.522467,1.333333,1.0,0.010508,5.0,9.0,13.5,2.0,8.0,1.6,,,0.333333,1.0,1.0,1.0,0.0,1.0,0.666667,5.5,1.666667,1.666667,1.666667,0.0,3.0,0.0,2.666667,2.666667,0.0,,0.0,1.4e-05,22.905721,0.50235,0.833333,0.833333,1.0,0.833333,0.833333,14590.166667,885.333333,15475.5,0.014927,0.025434,0.55766,0.0,0.0
gpt-4o-mini,gpt-5.4-mini,Single Agent,6,0.464717,0.4943,0.375,0.586567,0.416667,0.308333,14.519833,2075.5,882.5,2958.0,100000.0,0.0,97042.0,0.0,0.029567,0.0,0.0,0.000841,1.0,1.0,2.0,1.0,0.0,0.0,,,0.166667,0.833333,1.0,1.0,0.0,0.833333,0.666667,1.0,0.166667,0.166667,0.166667,0.0,1.666667,0.0,1.666667,1.666667,0.0,0.0,0.666667,0.000393,49.987078,0.4943,0.833333,0.833333,1.0,0.75,0.75,7357.166667,900.666667,8257.833333,0.009571,0.010412,0.55766,0.0,0.0
gpt-4o-mini,gpt-5.4-mini,Unstructured Group Chat,6,0.452083,0.452083,0.333333,0.484733,0.375,0.233333,103.577667,62887.833333,6247.5,69135.333333,100000.0,20000.0,30864.666667,0.0,0.691333,2.666667,2.5,0.013182,5.0,13.0,17.333333,3.0,12.0,2.4,,,0.333333,1.0,1.0,1.0,0.0,1.0,0.833333,6.833333,1.833333,1.833333,1.833333,0.0,5.666667,0.0,5.0,5.0,0.0,1.0,0.0,8e-06,17.986548,0.452083,0.816667,0.816667,1.0,0.916667,0.916667,16171.5,879.0,17050.5,0.016084,0.029266,0.55766,0.1404,0.166667
gpt-4o-mini,gpt-5.4-mini,Voting,6,0.525283,0.525283,0.416667,0.613433,0.458333,0.308333,57.135667,29674.5,3545.5,33220.0,100000.0,0.0,66780.0,0.0,0.3322,0.0,0.0,0.006578,4.0,8.0,13.333333,2.0,8.0,2.0,0.875,,0.333333,1.0,1.0,1.0,0.0,1.0,0.666667,5.333333,1.166667,1.166667,1.166667,0.0,2.833333,0.0,2.0,2.0,0.0,0.25,0.5,2.6e-05,31.226987,0.525283,0.833333,0.833333,1.0,0.833333,0.833333,12484.333333,911.333333,13395.666667,0.013464,0.020043,0.55766,0.02752,0.0
