agent_model,judge_model,protocol,runs,avg_overall_quality_score,avg_judge_capped_quality_score,avg_accuracy_norm,avg_completeness_norm,avg_helpfulness_norm,avg_hallucination_rate,avg_runtime_seconds,avg_input_tokens,avg_output_tokens,avg_total_tokens,avg_max_total_tokens,avg_final_writer_reserve_tokens,avg_budget_remaining_tokens,avg_budget_overrun_tokens,avg_budget_utilization,avg_budget_limited_call_count,avg_budget_skipped_call_count,avg_estimated_cost,avg_active_agent_count,avg_interaction_count,avg_model_call_count,avg_rounds_completed,avg_message_count,avg_communication_density,avg_agreement_rate,avg_critique_acceptance_rate,avg_tool_access_used,avg_tool_requirement_satisfied,avg_tool_surface_matches_benchmark,avg_tool_expectations_satisfied,avg_unauthorized_tool_call_count,avg_score_eligible,avg_evidence_policy_satisfied,avg_tool_call_count,avg_successful_tool_call_count,avg_successful_authorized_tool_call_count,avg_successful_substantive_tool_call_count,avg_successful_discovery_tool_call_count,avg_substantive_source_count,avg_discovery_source_count,avg_academic_record_count,avg_identifier_record_count,avg_local_document_count,avg_citation_traceability_rate,avg_unaccessed_citation_count,avg_quality_token_ratio,avg_quality_api_cost_ratio,avg_uncapped_quality_score,avg_judge_reported_score_cap,avg_judge_evidence_score_cap,avg_judge_score_cap,avg_evidence_score_cap,avg_overall_score_cap,avg_scorer_input_tokens,avg_scorer_output_tokens,avg_scorer_total_tokens,avg_judge_estimated_cost,avg_total_estimated_cost,avg_single_agent_baseline_score,avg_relative_score_drop,avg_relative_failure_suspected
gpt-4o-mini,gpt-5.4-mini,Shared Blackboard,3,0.480833,0.480833,0.416667,0.475,0.5,0.383333,102.531333,72646.333333,5790.666667,78437.0,100000.0,20000.0,21563.0,0.0,0.784367,1.333333,1.0,0.014371,5.0,9.0,28.0,2.0,8.0,1.6,,,0.666667,1.0,1.0,1.0,0.0,1.0,1.0,20.0,4.666667,4.666667,4.666667,0.0,3.333333,0.0,1.333333,1.333333,0.0,0.875,0.666667,7e-06,16.731762,0.480833,1.0,0.833333,1.0,1.0,1.0,14432.0,677.333333,15109.333333,0.013872,0.028243,0.5525,0.3233,0.333333
gpt-4o-mini,gpt-5.4-mini,Single Agent,3,0.368333,0.418333,0.333333,0.375,0.333333,0.183333,13.285667,3946.333333,832.333333,4778.666667,100000.0,0.0,95221.333333,0.0,0.0478,0.0,0.0,0.001091,1.0,1.0,3.666667,1.0,0.0,0.0,,,0.333333,0.666667,1.0,1.0,0.0,0.666667,0.666667,2.666667,0.666667,0.666667,0.666667,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.000123,38.832408,0.418333,0.666667,0.5,1.0,0.666667,0.666667,6441.0,593.666667,7034.666667,0.007502,0.008594,0.5525,0.0,0.0
gpt-4o-mini,gpt-5.4-mini,Voting,2,0.45,0.45,0.375,0.4625,0.375,0.3,59.4355,29535.0,3530.0,33065.0,100000.0,0.0,66935.0,0.0,0.33065,0.0,0.0,0.006548,4.0,8.0,16.0,2.0,8.0,2.0,1.0,,0.5,1.0,1.0,1.0,0.0,1.0,1.0,8.0,3.5,3.5,3.5,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,1.4e-05,24.308313,0.45,1.0,0.75,1.0,1.0,1.0,11777.5,657.5,12435.0,0.011792,0.01834,0.5525,0.1521,0.5
