agent_model,judge_model,protocol,runs,avg_overall_quality_score,avg_judge_capped_quality_score,avg_accuracy_norm,avg_completeness_norm,avg_helpfulness_norm,avg_hallucination_rate,avg_runtime_seconds,avg_input_tokens,avg_output_tokens,avg_total_tokens,avg_max_total_tokens,avg_final_writer_reserve_tokens,avg_budget_remaining_tokens,avg_budget_overrun_tokens,avg_budget_utilization,avg_budget_limited_call_count,avg_budget_skipped_call_count,avg_estimated_cost,avg_active_agent_count,avg_interaction_count,avg_model_call_count,avg_rounds_completed,avg_message_count,avg_communication_density,avg_agreement_rate,avg_critique_acceptance_rate,avg_tool_access_used,avg_tool_requirement_satisfied,avg_tool_surface_matches_benchmark,avg_tool_expectations_satisfied,avg_unauthorized_tool_call_count,avg_score_eligible,avg_evidence_policy_satisfied,avg_tool_call_count,avg_successful_tool_call_count,avg_successful_authorized_tool_call_count,avg_successful_substantive_tool_call_count,avg_successful_discovery_tool_call_count,avg_substantive_source_count,avg_discovery_source_count,avg_academic_record_count,avg_identifier_record_count,avg_local_document_count,avg_citation_traceability_rate,avg_unaccessed_citation_count,avg_quality_token_ratio,avg_quality_api_cost_ratio,avg_uncapped_quality_score,avg_judge_reported_score_cap,avg_judge_evidence_score_cap,avg_judge_score_cap,avg_evidence_score_cap,avg_overall_score_cap,avg_quality_judge_input_tokens,avg_quality_judge_output_tokens,avg_quality_judge_total_tokens,avg_quality_judge_estimated_cost,avg_failure_analyzer_input_tokens,avg_failure_analyzer_output_tokens,avg_failure_analyzer_total_tokens,avg_failure_analyzer_estimated_cost,avg_scorer_input_tokens,avg_scorer_output_tokens,avg_scorer_total_tokens,avg_judge_estimated_cost,avg_total_estimated_cost,avg_failure_count,runs_with_any_failure,multi_failure_runs,no_failure_run_count,no_failure_run_rate,coordination_failure_run_count,coordination_failure_run_rate,communication_failure_run_count,communication_failure_run_rate,role_confusion_run_count,role_confusion_run_rate,hallucination_propagation_run_count,hallucination_propagation_run_rate,premature_consensus_run_count,premature_consensus_run_rate,over_collaboration_run_count,over_collaboration_run_rate,manager_bottleneck_run_count,manager_bottleneck_run_rate,noise_accumulation_run_count,noise_accumulation_run_rate,other_failure_run_count,other_failure_run_rate
gpt-3.5-turbo,gpt-4o-mini,Debate,6,0.52865,0.52865,0.416667,0.666333,0.541667,0.083333,29.1445,16323.333333,2192.166667,18515.5,100000.0,20000.0,81484.5,0.0,0.185167,0.0,0.0,0.01145,4.0,7.0,10.333333,2.0,6.0,1.5,,,0.333333,1.0,1.0,1.0,0.0,1.0,0.833333,3.333333,2.833333,2.833333,1.5,1.333333,1.333333,1.0,1.166667,0.666667,0.0,1.0,0.0,6.2e-05,66.249952,0.591567,0.666667,0.75,0.833333,0.916667,0.833333,2463.5,752.0,3215.5,0.000821,5866.333333,486.0,6352.333333,0.001172,8329.833333,1238.0,9567.833333,0.001992,0.013442,0,0,0,6,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
gpt-3.5-turbo,gpt-4o-mini,Dynamic Task Allocation,6,0.6107,0.6107,0.458333,0.6398,0.541667,0.0,43.000167,29266.166667,2648.333333,31914.5,100000.0,20000.0,68085.5,0.0,0.319167,0.0,0.0,0.018606,6.0,11.0,15.666667,3.0,10.0,1.6667,,,0.333333,1.0,1.0,1.0,0.0,1.0,0.833333,4.666667,3.833333,3.833333,2.5,1.166667,2.333333,1.0,2.0,2.0,0.0,1.0,0.0,4.2e-05,52.632148,0.6107,0.666667,0.75,1.0,0.916667,0.916667,2346.0,723.5,3069.5,0.000786,7048.0,504.333333,7552.333333,0.00136,9394.0,1227.833333,10621.833333,0.002146,0.020751,0,0,0,6,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
gpt-3.5-turbo,gpt-4o-mini,Manager-Worker,6,0.641433,0.641433,0.541667,0.561733,0.666667,0.0,30.770167,19265.0,1936.833333,21201.833333,100000.0,20000.0,78798.166667,0.0,0.212033,0.0,0.0,0.012538,6.0,8.0,13.0,3.0,7.0,1.1667,,,0.333333,1.0,1.0,1.0,0.0,1.0,0.833333,5.0,3.833333,3.833333,2.166667,1.666667,1.166667,0.833333,1.0,1.0,0.0,1.0,0.0,6e-05,66.755441,0.641433,0.666667,0.666667,1.0,0.916667,0.916667,2289.666667,694.166667,2983.833333,0.00076,5770.833333,558.333333,6329.166667,0.001201,8060.5,1252.5,9313.0,0.001961,0.014498,0,0,0,6,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
gpt-3.5-turbo,gpt-4o-mini,Sequential Handoff,6,0.636467,0.636467,0.5,0.677367,0.625,0.111667,16.8085,8869.666667,1204.333333,10074.0,100000.0,20000.0,89926.0,0.0,0.100733,0.0,0.0,0.006241,4.0,4.0,6.0,1.0,3.0,0.75,,,0.333333,1.0,1.0,1.0,0.0,1.0,0.833333,2.0,1.5,1.5,1.0,0.5,2.5,1.166667,2.0,2.0,0.0,0.6667,0.5,0.000169,146.337342,0.636467,0.833333,0.833333,1.0,0.916667,0.916667,2512.666667,726.166667,3238.833333,0.000813,3951.833333,253.166667,4205.0,0.000745,6464.5,979.333333,7443.833333,0.001557,0.007799,0,0,0,6,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
gpt-3.5-turbo,gpt-4o-mini,Shared Blackboard,6,0.617283,0.617283,0.5,0.6548,0.541667,0.083333,30.869833,22482.666667,2335.5,24818.166667,100000.0,20000.0,75181.833333,0.0,0.248167,0.0,0.0,0.014745,5.0,9.0,11.833333,2.0,8.0,1.6,,,0.333333,1.0,1.0,1.0,0.0,1.0,0.833333,2.833333,2.666667,2.666667,1.333333,1.333333,1.333333,0.833333,1.166667,1.166667,0.0,1.0,0.0,3.9e-05,50.385885,0.617283,0.666667,0.666667,1.0,0.916667,0.916667,2361.0,727.666667,3088.666667,0.000791,6468.833333,497.166667,6966.0,0.001269,8829.833333,1224.833333,10054.666667,0.002059,0.016804,0,0,0,6,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
gpt-3.5-turbo,gpt-4o-mini,Single Agent,6,0.741967,0.741967,0.625,0.744033,0.75,0.0,5.887,2124.333333,416.0,2540.333333,100000.0,0.0,97459.666667,0.0,0.0254,0.0,0.0,0.001686,1.0,1.0,1.833333,1.0,0.0,0.0,,,0.333333,1.0,1.0,1.0,0.0,1.0,0.833333,0.833333,0.666667,0.666667,0.333333,0.333333,0.666667,0.333333,0.5,0.5,0.0,1.0,0.0,0.000821,346.097921,0.741967,0.833333,0.833333,1.0,0.916667,0.916667,2480.5,712.666667,3193.166667,0.0008,2292.5,83.333333,2375.833333,0.000394,4773.0,796.0,5569.0,0.001194,0.00288,0.333333,2,0,4,0.666667,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,0.333333
gpt-3.5-turbo,gpt-4o-mini,Unstructured Group Chat,6,0.679467,0.679467,0.541667,0.73015,0.666667,0.083333,45.306667,39873.333333,2917.166667,42790.5,100000.0,20000.0,57209.5,0.0,0.4279,0.666667,0.666667,0.024312,5.0,13.0,18.0,3.0,12.0,2.4,,,0.333333,1.0,1.0,1.0,0.0,1.0,0.833333,5.666667,4.833333,4.833333,2.666667,2.166667,2.333333,1.5,2.0,2.0,0.0,0.6667,0.5,2.9e-05,41.671334,0.679467,0.75,0.833333,1.0,0.916667,0.916667,2461.333333,731.5,3192.833333,0.000808,7586.833333,511.166667,8098.0,0.001445,10048.166667,1242.666667,11290.833333,0.002253,0.026565,0,0,0,6,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
gpt-3.5-turbo,gpt-4o-mini,Voting,6,0.768633,0.768633,0.666667,0.756533,0.791667,0.0,29.177667,20386.666667,1863.166667,22249.833333,100000.0,0.0,77750.166667,0.0,0.222517,0.0,0.0,0.012988,4.0,8.0,12.0,2.0,8.0,2.0,0.791667,,0.333333,1.0,1.0,1.0,0.0,1.0,0.833333,4.0,3.333333,3.333333,2.0,1.333333,1.0,1.0,0.833333,0.833333,0.0,1.0,0.0,6.2e-05,77.725812,0.768633,0.9,0.916667,1.0,0.916667,0.916667,2468.166667,744.166667,3212.333333,0.000817,6038.0,332.166667,6370.166667,0.001105,8506.166667,1076.333333,9582.5,0.001922,0.01491,0,0,0,6,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
