agent_model,judge_model,protocol,runs,avg_overall_quality_score,avg_judge_capped_quality_score,avg_accuracy_norm,avg_completeness_norm,avg_helpfulness_norm,avg_hallucination_rate,avg_runtime_seconds,avg_input_tokens,avg_output_tokens,avg_total_tokens,avg_max_total_tokens,avg_final_writer_reserve_tokens,avg_budget_remaining_tokens,avg_budget_overrun_tokens,avg_budget_utilization,avg_budget_limited_call_count,avg_budget_skipped_call_count,avg_estimated_cost,avg_active_agent_count,avg_interaction_count,avg_model_call_count,avg_rounds_completed,avg_message_count,avg_communication_density,avg_agreement_rate,avg_critique_acceptance_rate,avg_tool_access_used,avg_tool_requirement_satisfied,avg_tool_surface_matches_benchmark,avg_tool_expectations_satisfied,avg_unauthorized_tool_call_count,avg_score_eligible,avg_evidence_policy_satisfied,avg_tool_call_count,avg_successful_tool_call_count,avg_successful_authorized_tool_call_count,avg_successful_substantive_tool_call_count,avg_successful_discovery_tool_call_count,avg_substantive_source_count,avg_discovery_source_count,avg_academic_record_count,avg_identifier_record_count,avg_local_document_count,avg_citation_traceability_rate,avg_unaccessed_citation_count,avg_quality_token_ratio,avg_quality_api_cost_ratio,avg_uncapped_quality_score,avg_judge_reported_score_cap,avg_judge_evidence_score_cap,avg_judge_score_cap,avg_evidence_score_cap,avg_overall_score_cap,avg_scorer_input_tokens,avg_scorer_output_tokens,avg_scorer_total_tokens,avg_judge_estimated_cost,avg_total_estimated_cost
gpt-5-nano,gpt-5.4-mini,Debate,6,0.695983,0.695983,0.625,0.681017,0.708333,0.125,37.0315,17134.0,5895.5,23029.5,100000.0,20000.0,76970.5,0.0,0.230283,0.0,0.0,0.003215,4.0,7.0,9.0,2.0,6.0,1.5,,,0.166667,1.0,1.0,1.0,0.0,1.0,1.0,2.0,1.666667,1.666667,1.666667,0.0,5.0,0.0,4.833333,4.833333,0.0,0.6,0.333333,5.8e-05,77.172882,0.695983,1.0,1.0,1.0,1.0,1.0,5810.666667,707.666667,6518.333333,0.007542,0.010757
gpt-5-nano,gpt-5.4-mini,Dynamic Task Allocation,6,0.699083,0.699083,0.666667,0.673033,0.666667,0.13,58.0055,33400.333333,9120.333333,42520.666667,100000.0,20000.0,57479.333333,0.0,0.4252,0.166667,0.166667,0.005318,6.0,11.0,12.333333,3.0,10.0,1.6667,,,0.166667,1.0,1.0,1.0,0.0,1.0,1.0,1.5,1.333333,1.333333,1.333333,0.0,5.0,0.0,4.833333,4.833333,0.0,0.3333,0.666667,2.4e-05,69.045794,0.699083,1.0,1.0,1.0,1.0,1.0,5737.5,634.833333,6372.333333,0.00716,0.012478
gpt-5-nano,gpt-5.4-mini,Manager-Worker,6,0.574533,0.574533,0.5,0.6287,0.625,0.196667,46.8955,21793.666667,7350.666667,29144.333333,100000.0,20000.0,70855.666667,0.0,0.291433,0.166667,0.166667,0.00403,6.0,8.0,9.5,3.0,7.0,1.1667,,,0.166667,1.0,1.0,1.0,0.0,1.0,1.0,1.666667,1.333333,1.333333,1.333333,0.0,4.666667,0.0,4.5,4.5,0.0,1.0,0.0,3.3e-05,63.084925,0.609117,0.833333,0.916667,0.833333,1.0,0.833333,5778.0,819.5,6597.5,0.008021,0.012051
gpt-5-nano,gpt-5.4-mini,Sequential Handoff,6,0.738333,0.738333,0.666667,0.758333,0.75,0.15,26.704833,11335.5,3561.666667,14897.166667,100000.0,20000.0,85102.833333,0.0,0.14895,0.0,0.0,0.001991,4.0,4.0,5.5,1.0,3.0,0.75,,,0.166667,1.0,1.0,1.0,0.0,1.0,1.0,1.5,1.166667,1.166667,1.166667,0.0,4.333333,0.0,4.166667,3.5,0.0,0.6667,0.333333,0.000119,98.53171,0.738333,1.0,1.0,1.0,1.0,1.0,5764.333333,772.166667,6536.5,0.007798,0.009789
gpt-5-nano,gpt-5.4-mini,Shared Blackboard,6,0.704933,0.704933,0.666667,0.698383,0.666667,0.141667,48.720667,29783.0,6991.333333,36774.333333,100000.0,20000.0,63225.666667,0.0,0.367733,0.0,0.0,0.004286,5.0,9.0,10.333333,2.0,8.0,1.6,,,0.166667,1.0,1.0,1.0,0.0,1.0,1.0,1.333333,1.166667,1.166667,1.166667,0.0,2.666667,0.0,2.333333,2.333333,0.0,0.3333,0.666667,2.8e-05,75.80756,0.704933,1.0,1.0,1.0,1.0,1.0,5036.166667,660.833333,5697.0,0.006751,0.011037
gpt-5-nano,gpt-5.4-mini,Single Agent,6,0.6528,0.6528,0.708333,0.66485,0.666667,0.108333,6.992333,3334.5,1015.5,4350.0,100000.0,0.0,95650.0,0.0,0.043467,0.0,0.0,0.000573,1.0,1.0,1.666667,1.0,0.0,0.0,,,0.166667,1.0,1.0,1.0,0.0,1.0,1.0,0.666667,0.5,0.5,0.5,0.0,1.666667,0.0,1.5,1.5,0.0,1.0,0.0,0.000614,104.321362,0.714467,1.0,1.0,0.833333,1.0,0.833333,4946.0,713.0,5659.0,0.006918,0.007491
gpt-5-nano,gpt-5.4-mini,Unstructured Group Chat,6,0.745,0.745,0.708333,0.772217,0.708333,0.175,64.592333,48183.0,9427.833333,57610.833333,100000.0,20000.0,42389.166667,0.0,0.576117,0.833333,0.833333,0.00618,5.0,13.0,14.166667,3.0,12.0,2.4,,,0.166667,1.0,1.0,1.0,0.0,1.0,0.833333,2.0,1.5,1.5,1.5,0.0,5.0,0.0,4.833333,4.833333,0.0,0.3333,0.333333,1.9e-05,72.109009,0.745,0.916667,0.916667,1.0,0.916667,0.916667,5755.833333,741.0,6496.833333,0.007651,0.013832
gpt-5-nano,gpt-5.4-mini,Voting,6,0.511667,0.511667,0.416667,0.441667,0.416667,0.0,27.044667,16615.166667,3643.0,20258.166667,100000.0,0.0,79741.833333,0.0,0.2026,0.0,0.0,0.002288,4.0,8.0,9.5,2.0,8.0,2.0,0.583333,,0.166667,1.0,1.0,1.0,0.0,1.0,0.833333,1.5,1.5,1.5,1.5,0.0,4.666667,0.0,4.666667,4.666667,0.0,,0.0,4.7e-05,70.459097,0.511667,1.0,0.916667,1.0,0.916667,0.916667,5194.5,703.333333,5897.833333,0.007061,0.009349
