agent_model,judge_model,protocol,runs,avg_overall_quality_score,avg_judge_capped_quality_score,avg_accuracy_norm,avg_completeness_norm,avg_helpfulness_norm,avg_hallucination_rate,avg_runtime_seconds,avg_input_tokens,avg_output_tokens,avg_total_tokens,avg_max_total_tokens,avg_final_writer_reserve_tokens,avg_budget_remaining_tokens,avg_budget_overrun_tokens,avg_budget_utilization,avg_budget_limited_call_count,avg_budget_skipped_call_count,avg_estimated_cost,avg_active_agent_count,avg_interaction_count,avg_model_call_count,avg_rounds_completed,avg_message_count,avg_communication_density,avg_agreement_rate,avg_critique_acceptance_rate,avg_tool_access_used,avg_tool_requirement_satisfied,avg_tool_surface_matches_benchmark,avg_tool_expectations_satisfied,avg_unauthorized_tool_call_count,avg_score_eligible,avg_evidence_policy_satisfied,avg_tool_call_count,avg_successful_tool_call_count,avg_successful_authorized_tool_call_count,avg_successful_substantive_tool_call_count,avg_successful_discovery_tool_call_count,avg_substantive_source_count,avg_discovery_source_count,avg_academic_record_count,avg_identifier_record_count,avg_local_document_count,avg_citation_traceability_rate,avg_unaccessed_citation_count,avg_quality_token_ratio,avg_quality_api_cost_ratio,avg_uncapped_quality_score,avg_judge_reported_score_cap,avg_judge_evidence_score_cap,avg_judge_score_cap,avg_evidence_score_cap,avg_overall_score_cap,avg_quality_judge_input_tokens,avg_quality_judge_output_tokens,avg_quality_judge_total_tokens,avg_quality_judge_estimated_cost,avg_failure_analyzer_input_tokens,avg_failure_analyzer_output_tokens,avg_failure_analyzer_total_tokens,avg_failure_analyzer_estimated_cost,avg_scorer_input_tokens,avg_scorer_output_tokens,avg_scorer_total_tokens,avg_judge_estimated_cost,avg_total_estimated_cost,avg_failure_count,runs_with_any_failure,multi_failure_runs,no_failure_run_count,no_failure_run_rate,coordination_failure_run_count,coordination_failure_run_rate,communication_failure_run_count,communication_failure_run_rate,role_confusion_run_count,role_confusion_run_rate,hallucination_propagation_run_count,hallucination_propagation_run_rate,premature_consensus_run_count,premature_consensus_run_rate,over_collaboration_run_count,over_collaboration_run_rate,manager_bottleneck_run_count,manager_bottleneck_run_rate,noise_accumulation_run_count,noise_accumulation_run_rate,other_failure_run_count,other_failure_run_rate
deepseek-v4-flash,gpt-5-mini,Debate,24,0.743346,0.779283,0.791667,0.7924,0.770833,0.0375,63.649417,26612.833333,6241.125,32853.958333,100000.0,20000.0,67146.041667,0.0,0.328537,0.0,0.0,0.005473,4.0,7.0,10.791667,2.0,6.0,1.5,,,0.291667,1.0,1.0,1.0,0.0,1.0,0.708333,9.625,3.291667,3.291667,2.208333,0.958333,1.333333,1.166667,0.541667,0.5,0.0,0.133333,0.5,3.6e-05,66.342001,0.813346,1.0,0.691667,0.958333,0.845833,0.825,4270.541667,865.583333,5136.125,0.002799,9781.541667,1073.708333,10855.25,0.004593,14052.083333,1939.291667,15991.375,0.007392,0.012865,4.458333,24,23,0,0.0,17,0.708333,18,0.75,7,0.291667,10,0.416667,9,0.375,24,1.0,0,0.0,22,0.916667,0,0.0
deepseek-v4-flash,gpt-5-mini,Dynamic Task Allocation,24,0.767388,0.838433,0.822917,0.817021,0.8125,0.047917,77.020042,45521.541667,8709.083333,54230.625,100000.0,20000.0,45769.375,0.0,0.542308,0.458333,0.458333,0.008812,6.0,11.0,15.041667,3.0,10.0,1.6667,,,0.291667,1.0,1.0,1.0,0.0,1.0,0.708333,10.791667,4.0,4.0,2.75,1.25,1.333333,0.75,0.25,0.208333,0.0,0.0,0.875,2e-05,52.018679,0.838433,1.0,0.816667,1.0,0.8375,0.8375,4409.5,901.166667,5310.666667,0.002905,13026.25,1033.5,14059.75,0.005324,17435.75,1934.666667,19370.416667,0.008228,0.01704,4,24,22,0,0.0,17,0.708333,13,0.541667,9,0.375,5,0.208333,7,0.291667,23,0.958333,0,0.0,22,0.916667,0,0.0
deepseek-v4-flash,gpt-5-mini,Manager-Worker,24,0.768283,0.842167,0.833333,0.829113,0.822917,0.085417,81.4695,28044.333333,7357.666667,35402.0,100000.0,20000.0,64598.0,0.0,0.354013,0.0,0.0,0.005986,6.0,8.0,11.916667,3.0,7.0,1.1667,,,0.291667,1.0,1.0,1.0,0.0,1.0,0.708333,9.666667,3.583333,3.583333,2.333333,1.25,2.25,1.083333,1.25,1.25,0.0,0.03125,1.208333,3.4e-05,65.329374,0.842167,1.0,0.791667,1.0,0.841667,0.841667,4587.916667,916.791667,5504.708333,0.002981,11215.333333,1047.458333,12262.791667,0.004899,15803.25,1964.25,17767.5,0.007879,0.013866,3.041667,18,13,6,0.25,11,0.458333,10,0.416667,5,0.208333,1,0.041667,6,0.25,17,0.708333,11,0.458333,12,0.5,0,0.0
deepseek-v4-flash,gpt-5-mini,Sequential Handoff,24,0.817208,0.856479,0.84375,0.824733,0.84375,0.033333,37.794083,12982.583333,4002.75,16985.333333,100000.0,20000.0,83014.666667,0.0,0.16985,0.041667,0.041667,0.002938,4.0,4.0,5.458333,1.0,3.0,0.75,,,0.291667,1.0,1.0,1.0,0.0,1.0,0.791667,3.75,1.416667,1.416667,1.0,0.416667,2.416667,0.958333,1.833333,1.833333,0.0,0.3125,0.625,8e-05,111.079391,0.856479,0.983333,0.816667,1.0,0.8875,0.8875,4399.5,879.083333,5278.583333,0.002858,6973.958333,433.458333,7407.416667,0.00261,11373.458333,1312.541667,12686.0,0.005468,0.008407,0.458333,10,1,14,0.583333,0,0.0,6,0.25,3,0.125,2,0.083333,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
deepseek-v4-flash,gpt-5-mini,Shared Blackboard,24,0.840833,0.884571,0.864583,0.878854,0.875,0.044583,73.305583,43058.541667,7796.0,50854.541667,100000.0,20000.0,49145.458333,0.0,0.508542,0.166667,0.125,0.008211,5.0,9.0,12.5,2.0,8.0,1.6,,,0.291667,1.0,1.0,1.0,0.0,1.0,0.833333,8.5,3.583333,3.583333,2.916667,0.583333,4.5,0.791667,3.583333,3.333333,0.0,0.24,1.625,2.2e-05,58.998887,0.884571,1.0,0.825,1.0,0.9125,0.9125,4554.958333,882.833333,5437.791667,0.002904,11758.416667,1050.166667,12808.583333,0.00504,16313.375,1933.0,18246.375,0.007944,0.016155,4.125,24,23,0,0.0,17,0.708333,16,0.666667,5,0.208333,6,0.25,8,0.333333,24,1.0,0,0.0,23,0.958333,0,0.0
deepseek-v4-flash,gpt-5-mini,Single Agent,24,0.715063,0.715063,0.666667,0.683554,0.677083,0.058333,15.512667,3202.791667,1393.958333,4596.75,100000.0,0.0,95403.25,0.0,0.045967,0.0,0.0,0.000839,1.0,1.0,1.625,1.0,0.0,0.0,,,0.291667,1.0,1.0,1.0,0.0,1.0,0.708333,1.458333,0.833333,0.833333,0.583333,0.25,2.208333,0.791667,1.916667,1.916667,0.0,0.0,0.166667,0.000458,165.169271,0.715063,1.0,0.741667,1.0,0.841667,0.841667,4174.25,839.25,5013.5,0.002722,3559.875,190.583333,3750.458333,0.001271,7734.125,1029.833333,8763.958333,0.003993,0.004832,0.75,18,0,6,0.25,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,18,0.75
deepseek-v4-flash,gpt-5-mini,Unstructured Group Chat,24,0.837275,0.892696,0.875,0.911404,0.885417,0.09375,96.211208,63791.333333,9132.791667,72924.125,100000.0,20000.0,27075.875,0.0,0.729246,1.708333,1.583333,0.011488,5.0,13.0,15.625,3.0,12.0,2.4,,,0.291667,1.0,1.0,1.0,0.0,1.0,0.791667,10.0,4.625,4.625,4.041667,0.541667,4.791667,1.0,3.375,3.291667,0.0,0.215283,1.375,1.3e-05,45.481556,0.892696,1.0,0.858333,1.0,0.8875,0.8875,4890.75,950.833333,5841.583333,0.003124,13780.291667,1045.5,14825.791667,0.005536,18671.041667,1996.333333,20667.375,0.00866,0.020148,3.625,24,23,0,0.0,11,0.458333,15,0.625,4,0.166667,8,0.333333,7,0.291667,22,0.916667,0,0.0,20,0.833333,0,0.0
deepseek-v4-flash,gpt-5-mini,Voting,24,0.660075,0.660075,0.625,0.614504,0.614583,0.10625,43.741292,24159.583333,3592.458333,27752.041667,100000.0,0.0,72247.958333,0.0,0.277512,0.0,0.0,0.004388,4.0,8.0,10.833333,2.0,8.0,2.0,0.777779,,0.25,0.958333,1.0,1.0,0.0,0.958333,0.708333,6.875,2.625,2.625,1.666667,0.958333,1.041667,0.791667,0.416667,0.416667,0.0,0.0,0.166667,3.4e-05,72.300501,0.660075,1.0,0.775,1.0,0.825,0.825,3768.458333,869.833333,4638.291667,0.002682,8358.583333,567.333333,8925.916667,0.003224,12127.041667,1437.166667,13564.208333,0.005906,0.010294,0.833333,12,5,12,0.5,0,0.0,11,0.458333,3,0.125,0,0.0,6,0.25,0,0.0,0,0.0,0,0.0,0,0.0
