agent_model,judge_model,protocol,runs,avg_overall_quality_score,avg_judge_capped_quality_score,avg_accuracy_norm,avg_completeness_norm,avg_helpfulness_norm,avg_hallucination_rate,avg_runtime_seconds,avg_input_tokens,avg_output_tokens,avg_total_tokens,avg_max_total_tokens,avg_final_writer_reserve_tokens,avg_budget_remaining_tokens,avg_budget_overrun_tokens,avg_budget_utilization,avg_budget_limited_call_count,avg_budget_skipped_call_count,avg_estimated_cost,avg_active_agent_count,avg_interaction_count,avg_model_call_count,avg_rounds_completed,avg_message_count,avg_communication_density,avg_agreement_rate,avg_critique_acceptance_rate,avg_tool_access_used,avg_tool_requirement_satisfied,avg_tool_surface_matches_benchmark,avg_tool_expectations_satisfied,avg_unauthorized_tool_call_count,avg_score_eligible,avg_evidence_policy_satisfied,avg_tool_call_count,avg_successful_tool_call_count,avg_successful_authorized_tool_call_count,avg_successful_substantive_tool_call_count,avg_successful_discovery_tool_call_count,avg_substantive_source_count,avg_discovery_source_count,avg_academic_record_count,avg_identifier_record_count,avg_local_document_count,avg_citation_traceability_rate,avg_unaccessed_citation_count,avg_quality_token_ratio,avg_quality_api_cost_ratio,avg_uncapped_quality_score,avg_judge_reported_score_cap,avg_judge_evidence_score_cap,avg_judge_score_cap,avg_evidence_score_cap,avg_overall_score_cap,avg_quality_judge_input_tokens,avg_quality_judge_output_tokens,avg_quality_judge_total_tokens,avg_quality_judge_estimated_cost,avg_failure_analyzer_input_tokens,avg_failure_analyzer_output_tokens,avg_failure_analyzer_total_tokens,avg_failure_analyzer_estimated_cost,avg_scorer_input_tokens,avg_scorer_output_tokens,avg_scorer_total_tokens,avg_judge_estimated_cost,avg_total_estimated_cost,avg_failure_count,runs_with_any_failure,multi_failure_runs,no_failure_run_count,no_failure_run_rate,coordination_failure_run_count,coordination_failure_run_rate,communication_failure_run_count,communication_failure_run_rate,role_confusion_run_count,role_confusion_run_rate,hallucination_propagation_run_count,hallucination_propagation_run_rate,premature_consensus_run_count,premature_consensus_run_rate,over_collaboration_run_count,over_collaboration_run_rate,manager_bottleneck_run_count,manager_bottleneck_run_rate,noise_accumulation_run_count,noise_accumulation_run_rate,other_failure_run_count,other_failure_run_rate
gpt-5-nano,gpt-5-mini,Debate,24,0.764779,0.815612,0.8125,0.795096,0.822917,0.145833,58.118917,16994.708333,7319.416667,24314.125,100000.0,20000.0,75685.875,0.0,0.243133,0.0,0.0,0.003778,4.0,7.0,12.5,2.0,6.0,1.5,,,0.291667,0.916667,1.0,1.0,0.0,0.916667,0.75,5.5,2.291667,2.291667,1.125,1.125,1.125,1.166667,0.041667,0.041667,0.0,0.16665,0.166667,6e-05,82.802934,0.815612,0.975,0.795833,1.0,0.829167,0.829167,4615.666667,943.083333,5558.75,0.00304,6605.75,954.25,7560.0,0.00356,11221.416667,1897.333333,13118.75,0.0066,0.010378,2.958333,24,20,0,0.0,9,0.375,15,0.625,8,0.333333,1,0.041667,1,0.041667,22,0.916667,0,0.0,15,0.625,0,0.0
gpt-5-nano,gpt-5-mini,Dynamic Task Allocation,24,0.730225,0.786817,0.8125,0.775154,0.791667,0.120833,92.206583,29834.791667,11562.666667,41397.458333,100000.0,20000.0,58602.541667,0.0,0.413971,0.583333,0.416667,0.006117,6.0,11.0,16.708333,3.0,10.0,1.6667,,,0.208333,0.916667,1.0,1.0,0.0,0.916667,0.75,6.125,2.583333,2.583333,1.458333,1.041667,1.166667,0.916667,0.0,0.0,0.0,0.3611,0.333333,2.9e-05,61.169265,0.807129,1.0,0.754167,0.958333,0.829167,0.8125,4468.541667,911.833333,5380.375,0.002941,8620.625,1093.375,9714.0,0.004342,13089.166667,2005.208333,15094.375,0.007283,0.0134,4.125,24,23,0,0.0,17,0.708333,16,0.666667,17,0.708333,0,0.0,4,0.166667,23,0.958333,0,0.0,22,0.916667,0,0.0
gpt-5-nano,gpt-5-mini,Manager-Worker,24,0.714475,0.765454,0.760417,0.775479,0.770833,0.120833,78.533917,24725.083333,9792.125,34517.208333,100000.0,20000.0,65482.791667,0.0,0.345183,0.0,0.0,0.005153,6.0,8.0,12.083333,3.0,7.0,1.1667,,,0.208333,0.916667,1.0,1.0,0.0,0.916667,0.75,4.083333,1.208333,1.208333,0.458333,0.75,0.583333,0.791667,0.0,0.0,0.0,0.2222,0.333333,3.1e-05,60.508405,0.784829,1.0,0.7625,0.958333,0.833333,0.8125,4638.791667,942.333333,5581.125,0.003044,10001.958333,1064.333333,11066.291667,0.004629,14640.75,2006.666667,16647.416667,0.007674,0.012827,3.291667,23,19,1,0.041667,10,0.416667,12,0.5,12,0.5,4,0.166667,4,0.166667,14,0.583333,5,0.208333,18,0.75,0,0.0
gpt-5-nano,gpt-5-mini,Sequential Handoff,24,0.740375,0.809,0.791667,0.800146,0.8125,0.1375,38.618083,11377.041667,5006.458333,16383.5,100000.0,20000.0,83616.5,0.0,0.163825,0.0,0.0,0.002571,4.0,4.0,7.375,1.0,3.0,0.75,,,0.208333,0.916667,1.0,1.0,0.0,0.916667,0.708333,3.375,1.291667,1.291667,0.791667,0.5,0.625,0.875,0.0,0.0,0.0,0.0,0.166667,8.8e-05,103.260393,0.809,1.0,0.7625,1.0,0.808333,0.808333,4569.958333,944.833333,5514.791667,0.003032,5654.5,480.0,6134.5,0.002374,10224.458333,1424.833333,11649.291667,0.005406,0.007977,1,16,6,8,0.333333,0,0.0,10,0.416667,9,0.375,4,0.166667,0,0.0,0,0.0,0,0.0,0,0.0,1,0.041667
gpt-5-nano,gpt-5-mini,Shared Blackboard,24,0.754229,0.812608,0.8125,0.783679,0.8125,0.129167,79.974042,27462.166667,9433.208333,36895.375,100000.0,20000.0,63104.625,0.0,0.368954,0.416667,0.375,0.005146,5.0,9.0,13.625,2.0,8.0,1.6,,,0.208333,0.916667,1.0,1.0,0.0,0.916667,0.75,5.0,1.791667,1.791667,1.166667,0.625,0.833333,0.625,0.041667,0.0,0.0,0.16665,0.208333,3.5e-05,67.969963,0.812608,1.0,0.733333,1.0,0.833333,0.833333,4600.333333,947.0,5547.333333,0.003044,8168.333333,1047.5,9215.833333,0.004137,12768.666667,1994.5,14763.166667,0.007181,0.012328,3.958333,24,24,0,0.0,14,0.583333,17,0.708333,11,0.458333,3,0.125,5,0.208333,23,0.958333,0,0.0,22,0.916667,0,0.0
gpt-5-nano,gpt-5-mini,Single Agent,24,0.670096,0.756192,0.739583,0.715417,0.729167,0.0875,13.96375,2205.791667,1729.291667,3935.083333,100000.0,0.0,96064.916667,0.0,0.039342,0.0,0.0,0.000802,1.0,1.0,2.041667,1.0,0.0,0.0,,,0.208333,0.791667,1.0,1.0,0.0,0.791667,0.75,1.041667,0.375,0.375,0.083333,0.25,0.291667,0.791667,0.0,0.0,0.0,0.5,0.083333,0.000376,139.726969,0.756192,1.0,0.775,1.0,0.770833,0.770833,4543.291667,924.791667,5468.083333,0.002985,3937.041667,194.916667,4131.958333,0.001374,8480.333333,1119.708333,9600.041667,0.004359,0.005162,0.791667,19,0,5,0.208333,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,19,0.791667
gpt-5-nano,gpt-5-mini,Unstructured Group Chat,24,0.770546,0.826275,0.833333,0.796958,0.822917,0.127083,100.851042,36896.916667,12877.458333,49774.375,100000.0,20000.0,50225.625,0.0,0.497733,0.75,0.666667,0.006996,5.0,13.0,17.958333,3.0,12.0,2.4,,,0.25,0.958333,1.0,1.0,0.0,0.958333,0.75,5.625,1.916667,1.916667,1.0,0.875,1.083333,0.875,0.25,0.208333,0.0,0.333333,0.208333,2.3e-05,57.987299,0.826275,1.0,0.7625,1.0,0.85,0.85,4619.416667,944.666667,5564.083333,0.003044,9520.0,1082.666667,10602.666667,0.004545,14139.416667,2027.333333,16166.75,0.00759,0.014585,3.541667,24,24,0,0.0,11,0.458333,10,0.416667,12,0.5,1,0.041667,4,0.166667,24,1.0,0,0.0,23,0.958333,0,0.0
gpt-5-nano,gpt-5-mini,Voting,24,0.321254,0.327504,0.208333,0.209742,0.208333,0.0,40.230792,15387.541667,4455.833333,19843.375,100000.0,0.0,80156.625,0.0,0.198438,0.0,0.0,0.002552,4.0,8.0,12.666667,2.0,8.0,2.0,0.729167,,0.25,0.958333,1.0,1.0,0.0,0.958333,0.708333,4.666667,2.0,2.0,1.0,1.0,1.166667,0.875,0.208333,0.208333,0.0,,0.0,2.8e-05,50.534254,0.327504,0.983333,0.770833,1.0,0.833333,0.833333,3029.291667,710.875,3740.166667,0.002179,4921.625,619.833333,5541.458333,0.00247,7950.916667,1330.708333,9281.625,0.004649,0.007201,1.5,20,13,4,0.166667,0,0.0,18,0.75,3,0.125,0,0.0,15,0.625,0,0.0,0,0.0,0,0.0,0,0.0
