agent_model,judge_model,protocol,runs,avg_overall_quality_score,avg_judge_capped_quality_score,avg_accuracy_norm,avg_completeness_norm,avg_helpfulness_norm,avg_hallucination_rate,avg_runtime_seconds,avg_input_tokens,avg_output_tokens,avg_total_tokens,avg_max_total_tokens,avg_final_writer_reserve_tokens,avg_budget_remaining_tokens,avg_budget_overrun_tokens,avg_budget_utilization,avg_budget_limited_call_count,avg_budget_skipped_call_count,avg_estimated_cost,avg_active_agent_count,avg_interaction_count,avg_model_call_count,avg_rounds_completed,avg_message_count,avg_communication_density,avg_agreement_rate,avg_critique_acceptance_rate,avg_tool_access_used,avg_tool_requirement_satisfied,avg_tool_surface_matches_benchmark,avg_tool_expectations_satisfied,avg_unauthorized_tool_call_count,avg_score_eligible,avg_evidence_policy_satisfied,avg_tool_call_count,avg_successful_tool_call_count,avg_successful_authorized_tool_call_count,avg_successful_substantive_tool_call_count,avg_successful_discovery_tool_call_count,avg_substantive_source_count,avg_discovery_source_count,avg_academic_record_count,avg_identifier_record_count,avg_local_document_count,avg_citation_traceability_rate,avg_unaccessed_citation_count,avg_quality_token_ratio,avg_quality_api_cost_ratio,avg_uncapped_quality_score,avg_judge_reported_score_cap,avg_judge_evidence_score_cap,avg_judge_score_cap,avg_evidence_score_cap,avg_overall_score_cap,avg_quality_judge_input_tokens,avg_quality_judge_output_tokens,avg_quality_judge_total_tokens,avg_quality_judge_estimated_cost,avg_failure_analyzer_input_tokens,avg_failure_analyzer_output_tokens,avg_failure_analyzer_total_tokens,avg_failure_analyzer_estimated_cost,avg_scorer_input_tokens,avg_scorer_output_tokens,avg_scorer_total_tokens,avg_judge_estimated_cost,avg_total_estimated_cost,avg_failure_count,runs_with_any_failure,multi_failure_runs,no_failure_run_count,no_failure_run_rate,coordination_failure_run_count,coordination_failure_run_rate,communication_failure_run_count,communication_failure_run_rate,role_confusion_run_count,role_confusion_run_rate,hallucination_propagation_run_count,hallucination_propagation_run_rate,premature_consensus_run_count,premature_consensus_run_rate,over_collaboration_run_count,over_collaboration_run_rate,manager_bottleneck_run_count,manager_bottleneck_run_rate,noise_accumulation_run_count,noise_accumulation_run_rate,other_failure_run_count,other_failure_run_rate
gpt-5-nano,deepseek-v4-pro,Debate,22,0.739927,0.792995,0.772727,0.772114,0.738636,0.045455,57.286545,17055.818182,7274.545455,24330.363636,100000.0,20000.0,75669.636364,0.0,0.243295,0.0,0.0,0.003763,4.0,7.0,12.090909,2.0,6.0,1.5,,,0.272727,0.909091,1.0,1.0,0.0,0.909091,0.772727,5.090909,2.454545,2.454545,1.181818,1.227273,1.181818,1.272727,0.0,0.0,0.0,0.3333,0.090909,5.7e-05,88.411615,0.792995,0.845455,0.863636,1.0,0.840909,0.840909,4709.409091,3768.909091,8478.318182,0.005328,1039.318182,463.227273,1502.545455,0.000855,5748.727273,4232.136364,9980.863636,0.006183,0.009945,0.272727,4,1,18,0.818182,1,0.045455,2,0.090909,2,0.090909,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.045455
gpt-5-nano,deepseek-v4-pro,Dynamic Task Allocation,24,0.726721,0.767437,0.760417,0.753592,0.729167,0.091667,92.206583,29834.791667,11562.666667,41397.458333,100000.0,20000.0,58602.541667,0.0,0.413971,0.583333,0.416667,0.006117,6.0,11.0,16.708333,3.0,10.0,1.6667,,,0.208333,0.916667,1.0,1.0,0.0,0.916667,0.75,6.125,2.583333,2.583333,1.458333,1.041667,1.166667,0.916667,0.0,0.0,0.0,0.3611,0.333333,2.9e-05,75.661911,0.774312,0.8625,0.875,0.958333,0.829167,0.8125,4610.916667,3914.5,8525.416667,0.005411,0.0,0.0,0.0,0.0,4610.916667,3914.5,8525.416667,0.005411,0.011528,0.083333,2,0,22,0.916667,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,0.083333
gpt-5-nano,deepseek-v4-pro,Manager-Worker,24,0.672979,0.714746,0.677083,0.720333,0.6875,0.102083,78.533917,24725.083333,9792.125,34517.208333,100000.0,20000.0,65482.791667,0.0,0.345183,0.0,0.0,0.005153,6.0,8.0,12.083333,3.0,7.0,1.1667,,,0.208333,0.916667,1.0,1.0,0.0,0.916667,0.75,4.083333,1.208333,1.208333,0.458333,0.75,0.583333,0.791667,0.0,0.0,0.0,0.2222,0.333333,2.9e-05,71.083875,0.725267,0.841667,0.810417,0.958333,0.833333,0.8125,4791.791667,3958.0,8749.791667,0.005528,0.0,0.0,0.0,0.0,4791.791667,3958.0,8749.791667,0.005528,0.010681,0.083333,2,0,22,0.916667,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,0.083333
gpt-5-nano,deepseek-v4-pro,Sequential Handoff,23,0.691996,0.749439,0.684783,0.760791,0.73913,0.108696,38.480739,11789.26087,4950.0,16739.26087,100000.0,20000.0,83260.73913,0.0,0.167383,0.0,0.0,0.002569,4.0,4.0,7.521739,1.0,3.0,0.75,,,0.217391,0.913043,1.0,1.0,0.0,0.913043,0.695652,3.521739,1.347826,1.347826,0.826087,0.521739,0.652174,0.913043,0.0,0.0,0.0,0.0,0.173913,8.3e-05,69.97706,0.749439,0.856522,0.830435,1.0,0.8,0.8,4669.434783,4045.521739,8714.956522,0.005551,4198.0,1682.130435,5880.130435,0.00329,8867.434783,5727.652174,14595.086957,0.00884,0.01141,1.304348,16,14,7,0.304348,0,0.0,14,0.608696,15,0.652174,1,0.043478,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
gpt-5-nano,deepseek-v4-pro,Shared Blackboard,22,0.699073,0.755205,0.704545,0.743118,0.715909,0.05,79.276273,29558.454545,9169.363636,38727.818182,100000.0,20000.0,61272.181818,0.0,0.387277,0.454545,0.409091,0.005146,5.0,9.0,14.045455,2.0,8.0,1.6,,,0.227273,0.909091,1.0,1.0,0.0,0.909091,0.727273,5.454545,1.954545,1.954545,1.272727,0.681818,0.909091,0.681818,0.045455,0.0,0.0,0.16665,0.227273,3.2e-05,77.815966,0.755205,0.831818,0.836364,1.0,0.818182,0.818182,4621.272727,4120.045455,8741.318182,0.005595,0.0,0.0,0.0,0.0,4621.272727,4120.045455,8741.318182,0.005595,0.01074,0.090909,2,0,20,0.909091,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,0.090909
gpt-5-nano,deepseek-v4-pro,Single Agent,24,0.630408,0.721513,0.666667,0.689767,0.6875,0.041667,13.96375,2205.791667,1729.291667,3935.083333,100000.0,0.0,96064.916667,0.0,0.039342,0.0,0.0,0.000802,1.0,1.0,2.041667,1.0,0.0,0.0,,,0.208333,0.791667,1.0,1.0,0.0,0.791667,0.75,1.041667,0.375,0.375,0.083333,0.25,0.291667,0.791667,0.0,0.0,0.0,0.5,0.083333,0.000359,70.605012,0.721513,0.791667,0.791667,1.0,0.770833,0.770833,4688.625,4196.5,8885.125,0.005691,4100.625,1047.458333,5148.083333,0.002695,8789.25,5243.958333,14033.208333,0.008386,0.009188,0.416667,10,0,14,0.583333,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,10,0.416667
gpt-5-nano,deepseek-v4-pro,Unstructured Group Chat,22,0.685209,0.742823,0.693182,0.739318,0.693182,0.068182,99.393364,39262.363636,12537.727273,51800.090909,100000.0,20000.0,48199.909091,0.0,0.517991,0.818182,0.727273,0.006978,5.0,13.0,18.409091,3.0,12.0,2.4,,,0.272727,0.954545,1.0,1.0,0.0,0.954545,0.727273,6.136364,2.090909,2.090909,1.090909,0.954545,1.181818,0.954545,0.272727,0.227273,0.0,0.333333,0.227273,2e-05,62.796111,0.742823,0.859091,0.831818,1.0,0.836364,0.836364,4699.136364,3916.772727,8615.909091,0.005452,1477.590909,482.818182,1960.409091,0.001063,6176.727273,4399.590909,10576.318182,0.006515,0.013493,0.272727,4,2,18,0.818182,0,0.0,3,0.136364,3,0.136364,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
gpt-5-nano,deepseek-v4-pro,Voting,24,0.323983,0.332108,0.208333,0.2112,0.229167,0.0,40.230792,15387.541667,4455.833333,19843.375,100000.0,0.0,80156.625,0.0,0.198438,0.0,0.0,0.002552,4.0,8.0,12.666667,2.0,8.0,2.0,0.729167,,0.25,0.958333,1.0,1.0,0.0,0.958333,0.708333,4.666667,2.0,2.0,1.0,1.0,1.166667,0.875,0.208333,0.208333,0.0,,0.0,2.8e-05,45.731426,0.332108,0.666667,0.5,1.0,0.833333,0.833333,3157.916667,2232.875,5390.791667,0.003316,2893.708333,1441.208333,4334.916667,0.002513,6051.625,3674.083333,9725.708333,0.005829,0.008381,0.833333,13,6,11,0.458333,0,0.0,9,0.375,3,0.125,0,0.0,6,0.25,0,0.0,0,0.0,0,0.0,2,0.083333
