agent_model,judge_model,protocol,runs,avg_overall_quality_score,avg_judge_capped_quality_score,avg_accuracy_norm,avg_completeness_norm,avg_helpfulness_norm,avg_hallucination_rate,avg_runtime_seconds,avg_input_tokens,avg_output_tokens,avg_total_tokens,avg_max_total_tokens,avg_final_writer_reserve_tokens,avg_budget_remaining_tokens,avg_budget_overrun_tokens,avg_budget_utilization,avg_budget_limited_call_count,avg_budget_skipped_call_count,avg_estimated_cost,avg_active_agent_count,avg_interaction_count,avg_model_call_count,avg_rounds_completed,avg_message_count,avg_communication_density,avg_agreement_rate,avg_critique_acceptance_rate,avg_tool_access_used,avg_tool_requirement_satisfied,avg_tool_surface_matches_benchmark,avg_tool_expectations_satisfied,avg_unauthorized_tool_call_count,avg_score_eligible,avg_evidence_policy_satisfied,avg_tool_call_count,avg_successful_tool_call_count,avg_successful_authorized_tool_call_count,avg_successful_substantive_tool_call_count,avg_successful_discovery_tool_call_count,avg_substantive_source_count,avg_discovery_source_count,avg_academic_record_count,avg_identifier_record_count,avg_local_document_count,avg_citation_traceability_rate,avg_unaccessed_citation_count,avg_quality_token_ratio,avg_quality_api_cost_ratio,avg_uncapped_quality_score,avg_judge_reported_score_cap,avg_judge_evidence_score_cap,avg_judge_score_cap,avg_evidence_score_cap,avg_overall_score_cap,avg_quality_judge_input_tokens,avg_quality_judge_output_tokens,avg_quality_judge_total_tokens,avg_quality_judge_estimated_cost,avg_failure_analyzer_input_tokens,avg_failure_analyzer_output_tokens,avg_failure_analyzer_total_tokens,avg_failure_analyzer_estimated_cost,avg_scorer_input_tokens,avg_scorer_output_tokens,avg_scorer_total_tokens,avg_judge_estimated_cost,avg_total_estimated_cost,avg_failure_count,runs_with_any_failure,multi_failure_runs,no_failure_run_count,no_failure_run_rate,coordination_failure_run_count,coordination_failure_run_rate,communication_failure_run_count,communication_failure_run_rate,role_confusion_run_count,role_confusion_run_rate,hallucination_propagation_run_count,hallucination_propagation_run_rate,premature_consensus_run_count,premature_consensus_run_rate,over_collaboration_run_count,over_collaboration_run_rate,manager_bottleneck_run_count,manager_bottleneck_run_rate,noise_accumulation_run_count,noise_accumulation_run_rate,other_failure_run_count,other_failure_run_rate
deepseek-v4-flash,deepseek-v4-pro,Debate,24,0.801863,0.853946,0.822917,0.832108,0.833333,0.0025,95.640833,34201.291667,8428.791667,42630.083333,400000.0,50000.0,357369.916667,0.0,0.106571,0.0,0.0,0.007148,4.0,7.0,10.708333,2.0,6.0,1.5,,,0.25,0.958333,1.0,1.0,0.0,0.958333,0.75,8.958333,3.708333,3.708333,2.458333,1.25,1.416667,0.916667,0.25,0.083333,0.0,0.083333,0.75,3.1e-05,60.067986,0.853946,0.929167,0.833333,1.0,0.85,0.85,4561.833333,811.166667,5373.0,0.00269,12295.458333,735.333333,13030.791667,0.005988,16857.291667,1546.5,18403.791667,0.008678,0.015827,0.75,16,1,8,0.333333,0,0.0,0,0.0,4,0.166667,12,0.5,0,0.0,1,0.041667,0,0.0,1,0.041667,0,0.0
deepseek-v4-flash,deepseek-v4-pro,Dynamic Task Allocation,24,0.829167,0.916667,0.90625,0.910058,0.916667,0.045833,105.3505,63663.916667,10811.708333,74475.625,400000.0,50000.0,325524.375,0.0,0.186192,0.0,0.0,0.01194,6.0,11.0,15.5,3.0,10.0,1.6667,,,0.291667,1.0,1.0,1.0,0.0,1.0,0.75,9.416667,3.958333,3.958333,2.958333,0.958333,1.125,0.833333,0.125,0.125,0.0,0.13334,1.375,1.9e-05,46.892024,0.916667,0.933333,0.916667,1.0,0.870833,0.870833,4852.916667,825.166667,5678.083333,0.002829,15620.916667,802.875,16423.791667,0.007494,20473.833333,1628.041667,22101.875,0.010323,0.022263,2.166667,20,12,4,0.166667,10,0.416667,2,0.083333,12,0.5,4,0.166667,2,0.083333,15,0.625,0,0.0,6,0.25,1,0.041667
deepseek-v4-flash,deepseek-v4-pro,Manager-Worker,24,0.815054,0.885888,0.875,0.869617,0.875,0.041667,102.293,32310.625,9232.041667,41542.666667,400000.0,50000.0,358457.333333,0.0,0.103854,0.0,0.0,0.007108,6.0,8.0,11.5,3.0,7.0,1.1667,,,0.291667,1.0,1.0,1.0,0.0,1.0,0.75,8.625,3.0,3.0,1.875,1.125,2.541667,1.083333,1.25,1.25,0.0,0.076383,1.333333,3.3e-05,61.181915,0.885888,0.975,0.895833,1.0,0.858333,0.858333,4864.333333,811.916667,5676.25,0.002822,13473.166667,819.208333,14292.375,0.006574,18337.5,1631.125,19968.625,0.009396,0.016504,0.958333,8,4,16,0.666667,5,0.208333,1,0.041667,5,0.208333,3,0.125,0,0.0,3,0.125,3,0.125,3,0.125,0,0.0
deepseek-v4-flash,deepseek-v4-pro,Sequential Handoff,24,0.758946,0.821446,0.791667,0.786767,0.791667,0.0,43.871667,13347.375,4698.25,18045.625,400000.0,50000.0,381954.375,0.0,0.045108,0.0,0.0,0.003184,4.0,4.0,5.208333,1.0,3.0,0.75,,,0.208333,0.916667,1.0,1.0,0.0,0.916667,0.708333,3.833333,1.666667,1.666667,1.375,0.291667,0.791667,0.333333,0.0,0.0,0.0,0.0,0.291667,7.2e-05,91.405874,0.821446,0.9125,0.854167,1.0,0.804167,0.804167,4363.583333,819.625,5183.208333,0.002611,7947.958333,371.125,8319.083333,0.00378,12311.541667,1190.75,13502.291667,0.006391,0.009576,0.291667,7,0,17,0.708333,0,0.0,0,0.0,4,0.166667,1,0.041667,0,0.0,0,0.0,0,0.0,0,0.0,2,0.083333
deepseek-v4-flash,deepseek-v4-pro,Shared Blackboard,24,0.768146,0.851142,0.822917,0.836792,0.822917,0.016667,93.167792,58147.958333,10234.125,68382.083333,400000.0,50000.0,331617.916667,0.0,0.17095,0.0,0.0,0.011006,5.0,9.0,12.166667,2.0,8.0,1.6,,,0.208333,0.916667,1.0,1.0,0.0,0.916667,0.708333,8.166667,2.833333,2.833333,1.666667,1.166667,1.083333,0.791667,0.0,0.0,0.0,0.13334,1.375,1.8e-05,47.180112,0.851142,0.933333,0.854167,1.0,0.8,0.8,4481.75,830.125,5311.875,0.002672,14659.875,811.666667,15471.541667,0.007083,19141.625,1641.791667,20783.416667,0.009755,0.020761,1.916667,16,11,8,0.333333,8,0.333333,3,0.125,6,0.25,7,0.291667,1,0.041667,12,0.5,0,0.0,9,0.375,0,0.0
deepseek-v4-flash,deepseek-v4-pro,Single Agent,24,0.751304,0.751304,0.708333,0.705729,0.708333,0.0,16.094833,2697.958333,1317.291667,4015.25,400000.0,0.0,395984.75,0.0,0.010033,0.0,0.0,0.000747,1.0,1.0,1.583333,1.0,0.0,0.0,,,0.291667,1.0,1.0,1.0,0.0,1.0,0.708333,1.458333,0.75,0.75,0.5,0.25,1.875,0.708333,1.708333,1.708333,0.0,0.0,0.083333,0.000472,163.330057,0.751304,0.85,0.770833,1.0,0.845833,0.845833,4222.958333,786.875,5009.833333,0.002522,3626.958333,116.333333,3743.291667,0.001679,7849.916667,903.208333,8753.125,0.004201,0.004947,0.291667,7,0,17,0.708333,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,7,0.291667
deepseek-v4-flash,deepseek-v4-pro,Unstructured Group Chat,24,0.824425,0.947237,0.927083,0.953504,0.947917,0.019167,125.241417,90976.083333,11272.958333,102249.041667,400000.0,50000.0,297750.958333,0.0,0.255613,0.0,0.0,0.015893,5.0,13.0,18.541667,3.0,12.0,2.4,,,0.25,0.958333,1.0,1.0,0.0,0.958333,0.75,11.583333,4.708333,4.708333,3.458333,0.958333,2.75,0.791667,1.25,1.208333,0.0,0.2762,1.0,1.2e-05,38.953409,0.947237,0.958333,0.958333,1.0,0.845833,0.845833,4920.458333,849.041667,5769.5,0.002879,16135.166667,742.541667,16877.708333,0.007665,21055.625,1591.583333,22647.208333,0.010544,0.026437,1.083333,15,6,9,0.375,0,0.0,0,0.0,4,0.166667,7,0.291667,0,0.0,10,0.416667,0,0.0,5,0.208333,0,0.0
deepseek-v4-flash,deepseek-v4-pro,Voting,24,0.732554,0.745054,0.708333,0.705729,0.708333,0.041667,70.248958,31796.666667,5540.375,37337.041667,400000.0,0.0,362662.958333,0.0,0.093333,0.0,0.0,0.006003,4.0,8.0,10.916667,2.0,8.0,2.0,0.8125,,0.208333,0.916667,1.0,1.0,0.0,0.916667,0.708333,6.708333,2.625,2.625,1.708333,0.916667,1.0,0.708333,0.375,0.0,0.0,0.0,0.083333,3e-05,60.81355,0.745054,0.870833,0.791667,1.0,0.808333,0.808333,4197.75,792.791667,4990.541667,0.002516,10978.416667,461.166667,11439.583333,0.005177,15176.166667,1253.958333,16430.125,0.007693,0.013695,0.375,7,2,17,0.708333,0,0.0,0,0.0,5,0.208333,0,0.0,2,0.083333,0,0.0,0,0.0,0,0.0,2,0.083333
