agent_model,judge_model,protocol,runs,avg_overall_quality_score,avg_judge_capped_quality_score,avg_accuracy_norm,avg_completeness_norm,avg_helpfulness_norm,avg_hallucination_rate,avg_runtime_seconds,avg_input_tokens,avg_output_tokens,avg_total_tokens,avg_max_total_tokens,avg_final_writer_reserve_tokens,avg_budget_remaining_tokens,avg_budget_overrun_tokens,avg_budget_utilization,avg_budget_limited_call_count,avg_budget_skipped_call_count,avg_estimated_cost,avg_active_agent_count,avg_interaction_count,avg_model_call_count,avg_rounds_completed,avg_message_count,avg_communication_density,avg_agreement_rate,avg_critique_acceptance_rate,avg_tool_access_used,avg_tool_requirement_satisfied,avg_tool_surface_matches_benchmark,avg_tool_expectations_satisfied,avg_unauthorized_tool_call_count,avg_score_eligible,avg_evidence_policy_satisfied,avg_tool_call_count,avg_successful_tool_call_count,avg_successful_authorized_tool_call_count,avg_successful_substantive_tool_call_count,avg_successful_discovery_tool_call_count,avg_substantive_source_count,avg_discovery_source_count,avg_academic_record_count,avg_identifier_record_count,avg_local_document_count,avg_citation_traceability_rate,avg_unaccessed_citation_count,avg_quality_token_ratio,avg_quality_api_cost_ratio,avg_uncapped_quality_score,avg_judge_reported_score_cap,avg_judge_evidence_score_cap,avg_judge_score_cap,avg_evidence_score_cap,avg_overall_score_cap,avg_quality_judge_input_tokens,avg_quality_judge_output_tokens,avg_quality_judge_total_tokens,avg_quality_judge_estimated_cost,avg_failure_analyzer_input_tokens,avg_failure_analyzer_output_tokens,avg_failure_analyzer_total_tokens,avg_failure_analyzer_estimated_cost,avg_scorer_input_tokens,avg_scorer_output_tokens,avg_scorer_total_tokens,avg_judge_estimated_cost,avg_total_estimated_cost,avg_failure_count,runs_with_any_failure,multi_failure_runs,no_failure_run_count,no_failure_run_rate,coordination_failure_run_count,coordination_failure_run_rate,communication_failure_run_count,communication_failure_run_rate,role_confusion_run_count,role_confusion_run_rate,hallucination_propagation_run_count,hallucination_propagation_run_rate,premature_consensus_run_count,premature_consensus_run_rate,over_collaboration_run_count,over_collaboration_run_rate,manager_bottleneck_run_count,manager_bottleneck_run_rate,noise_accumulation_run_count,noise_accumulation_run_rate,other_failure_run_count,other_failure_run_rate
gpt-5-nano,deepseek-v4-pro,Debate,24,0.760196,0.798858,0.791667,0.769808,0.791667,0.116667,72.788667,51059.75,12009.791667,63069.541667,400000.0,50000.0,336930.458333,0.0,0.157675,0.0,0.0,0.007357,4.0,7.0,11.75,2.0,6.0,1.5,,,0.208333,0.916667,1.0,1.0,0.0,0.916667,0.791667,4.75,1.791667,1.791667,1.041667,0.75,0.875,0.958333,0.0,0.0,0.0,0.66665,0.083333,2.8e-05,57.054944,0.798858,0.9125,0.875,1.0,0.854167,0.854167,4700.583333,887.25,5587.833333,0.002817,16504.5,717.875,17222.375,0.007804,21205.083333,1605.125,22810.208333,0.010621,0.017978,0.333333,6,1,18,0.75,1,0.041667,0,0.0,1,0.041667,2,0.083333,0,0.0,1,0.041667,0,0.0,0,0.0,3,0.125
gpt-5-nano,deepseek-v4-pro,Dynamic Task Allocation,24,0.719079,0.783338,0.760417,0.762862,0.760417,0.091667,103.060125,94781.083333,16019.166667,110800.25,400000.0,50000.0,289199.75,0.0,0.277004,0.0,0.0,0.011147,6.0,11.0,16.25,3.0,10.0,1.6667,,,0.208333,0.916667,1.0,1.0,0.0,0.916667,0.708333,5.25,2.0,2.0,1.0,1.0,1.0,1.125,0.0,0.0,0.0,0.375,0.166667,1.3e-05,39.498872,0.783338,0.916667,0.875,1.0,0.808333,0.808333,4614.083333,871.666667,5485.75,0.002765,21630.291667,763.958333,22394.25,0.010074,26244.375,1635.625,27880.0,0.012839,0.023986,1.166667,14,10,10,0.416667,6,0.25,0,0.0,6,0.25,2,0.083333,0,0.0,9,0.375,0,0.0,5,0.208333,0,0.0
gpt-5-nano,deepseek-v4-pro,Manager-Worker,24,0.699267,0.7771,0.739583,0.764275,0.760417,0.0875,73.926333,43571.291667,12439.375,56010.666667,400000.0,50000.0,343989.333333,0.0,0.140021,0.0,0.0,0.007154,6.0,8.0,12.125,3.0,7.0,1.1667,,,0.208333,0.916667,1.0,1.0,0.0,0.916667,0.708333,4.125,1.708333,1.708333,0.958333,0.666667,1.375,0.916667,0.0,0.0,0.0,0.25,0.166667,2.4e-05,47.908042,0.7771,0.9,0.854167,1.0,0.808333,0.808333,4664.666667,871.458333,5536.125,0.002787,17306.291667,801.125,18107.416667,0.008225,21970.958333,1672.583333,23643.541667,0.011013,0.018167,0.875,8,7,16,0.666667,6,0.25,0,0.0,6,0.25,3,0.125,0,0.0,1,0.041667,4,0.166667,1,0.041667,0,0.0
gpt-5-nano,deepseek-v4-pro,Sequential Handoff,24,0.74205,0.785971,0.770833,0.782058,0.75,0.122917,42.063667,20059.916667,6047.333333,26107.25,400000.0,50000.0,373892.75,0.0,0.065263,0.0,0.0,0.003422,4.0,4.0,7.041667,1.0,3.0,0.75,,,0.208333,0.916667,1.0,1.0,0.0,0.916667,0.75,3.041667,0.958333,0.958333,0.666667,0.291667,1.166667,0.625,0.0,0.0,0.0,0.3333,0.166667,5.8e-05,84.81974,0.785971,0.841667,0.854167,1.0,0.833333,0.833333,4529.375,911.458333,5440.833333,0.002763,9426.333333,368.666667,9795.0,0.004421,13955.708333,1280.125,15235.833333,0.007184,0.010606,0.25,6,0,18,0.75,0,0.0,0,0.0,5,0.208333,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.041667
gpt-5-nano,deepseek-v4-pro,Shared Blackboard,24,0.764225,0.785183,0.75,0.780471,0.770833,0.104167,80.918333,75124.041667,12548.833333,87672.875,400000.0,50000.0,312327.125,0.0,0.219175,0.0,0.0,0.008776,5.0,9.0,13.208333,2.0,8.0,1.6,,,0.25,0.958333,1.0,1.0,0.0,0.958333,0.791667,4.208333,1.5,1.5,1.083333,0.291667,1.958333,0.5,0.666667,0.416667,0.0,0.41665,0.208333,1.6e-05,49.3503,0.785183,0.9125,0.833333,1.0,0.875,0.875,4589.166667,903.041667,5492.208333,0.002782,17575.458333,750.125,18325.583333,0.008298,22164.625,1653.166667,23817.791667,0.01108,0.019856,0.958333,8,6,16,0.666667,4,0.166667,0,0.0,4,0.166667,3,0.125,0,0.0,8,0.333333,0,0.0,4,0.166667,0,0.0
gpt-5-nano,deepseek-v4-pro,Single Agent,24,0.772171,0.811338,0.760417,0.819046,0.802083,0.072917,11.858167,3131.666667,1913.25,5044.916667,400000.0,0.0,394955.083333,0.0,0.012613,0.0,0.0,0.000922,1.0,1.0,2.0,1.0,0.0,0.0,,,0.25,0.875,1.0,1.0,0.0,0.875,0.833333,1.0,0.5,0.5,0.291667,0.208333,1.166667,0.666667,1.125,1.125,0.0,0.633333,0.291667,0.000388,146.266676,0.811338,0.895833,0.854167,1.0,0.854167,0.854167,4873.666667,906.083333,5779.75,0.002908,4281.166667,127.625,4408.791667,0.001973,9154.833333,1033.708333,10188.541667,0.004882,0.005804,0.333333,8,0,16,0.666667,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,8,0.333333
gpt-5-nano,deepseek-v4-pro,Unstructured Group Chat,24,0.761787,0.801787,0.770833,0.790325,0.791667,0.089583,117.827333,138493.625,17808.208333,156301.833333,400000.0,50000.0,243698.166667,0.0,0.390746,0.125,0.083333,0.014048,5.0,13.0,17.166667,3.0,12.0,2.4,,,0.25,0.958333,1.0,1.0,0.0,0.958333,0.75,4.25,1.666667,1.666667,1.25,0.416667,1.125,0.583333,0.416667,0.416667,0.0,0.0,0.166667,8e-06,35.269209,0.801787,0.916667,0.854167,1.0,0.85,0.85,4590.5,890.416667,5480.916667,0.002772,23748.416667,768.625,24517.041667,0.010999,28338.916667,1659.041667,29997.958333,0.013771,0.027819,1.166667,19,8,5,0.208333,1,0.041667,0,0.0,0,0.0,1,0.041667,0,0.0,18,0.75,0,0.0,7,0.291667,1,0.041667
gpt-5-nano,deepseek-v4-pro,Voting,24,0.739921,0.802438,0.760417,0.805708,0.791667,0.091667,51.454792,47931.458333,7829.708333,55761.166667,400000.0,0.0,344238.833333,0.0,0.139408,0.0,0.0,0.005528,4.0,8.0,12.625,2.0,8.0,2.0,0.6875,,0.25,0.916667,1.0,1.0,0.0,0.916667,0.75,4.625,1.833333,1.833333,0.958333,0.833333,1.25,0.875,0.458333,0.208333,0.0,0.666667,0.208333,2.5e-05,59.867644,0.802438,0.841667,0.854167,1.0,0.829167,0.829167,5033.583333,895.833333,5929.416667,0.002969,14349.791667,467.375,14817.166667,0.006649,19383.375,1363.208333,20746.583333,0.009618,0.015146,0.333333,7,1,17,0.708333,0,0.0,0,0.0,1,0.041667,3,0.125,2,0.083333,0,0.0,0,0.0,0,0.0,2,0.083333
