agent_model,judge_model,protocol,runs,avg_overall_quality_score,avg_accuracy_norm,avg_completeness_norm,avg_helpfulness_norm,avg_hallucination_rate,avg_runtime_seconds,avg_total_tokens,avg_estimated_cost,avg_active_agent_count,avg_interaction_count,avg_rounds_completed,avg_message_count,avg_communication_density,avg_agreement_rate,avg_critique_acceptance_rate,avg_tool_call_count,avg_quality_token_ratio,avg_quality_api_cost_ratio,avg_uncapped_quality_score,avg_overall_score_cap,avg_scorer_input_tokens,avg_scorer_output_tokens,avg_scorer_total_tokens,avg_judge_estimated_cost,avg_total_estimated_cost
gpt-5-nano,gpt-5.4-mini,Debate,6,0.882283,0.833333,0.939583,0.875,0.108333,66.368667,21272.666667,0.004595,4.0,7.0,2.0,6.0,1.5,,,0.0,4.4e-05,98.82815,0.882283,0.908333,4371.833333,473.166667,4845.0,0.005408,0.010003
gpt-5-nano,gpt-5.4-mini,Dynamic Task Allocation,6,0.7745,0.75,0.808333,0.75,0.036667,129.568167,44851.333333,0.007746,5.833333,10.833333,3.0,10.0,1.72225,,,0.0,1.8e-05,59.712825,0.7995,0.825,4656.166667,506.166667,5162.333333,0.00577,0.013516
gpt-5-nano,gpt-5.4-mini,Manager-Worker,6,0.85945,0.833333,0.910417,0.833333,0.146667,69.392833,27468.666667,0.00506,6.0,8.0,3.0,7.0,1.1667,,,0.0,3.3e-05,90.056212,0.85945,0.916667,4292.5,498.666667,4791.166667,0.005463,0.010523
gpt-5-nano,gpt-5.4-mini,Sequential Handoff,6,0.849783,0.791667,0.93125,0.791667,0.1,35.7275,10202.5,0.002563,4.0,4.0,1.0,3.0,0.75,,,0.0,8.8e-05,117.985587,0.849783,0.975,4387.166667,481.0,4868.166667,0.005455,0.008017
gpt-5-nano,gpt-5.4-mini,Shared Blackboard,6,0.82875,0.791667,0.9375,0.833333,0.158333,74.181167,36150.166667,0.006159,5.0,9.0,2.0,8.0,1.6,,,0.0,2.4e-05,72.813143,0.85125,0.833333,4323.166667,499.333333,4822.5,0.005489,0.011649
gpt-5-nano,gpt-5.4-mini,Single Agent,6,0.855617,0.791667,0.939583,0.833333,0.133333,10.706667,2245.0,0.000729,1.0,1.0,1.0,0.0,0.0,,,0.0,0.00047,147.948203,0.855617,0.916667,4445.666667,502.5,4948.166667,0.005595,0.006324
gpt-5-nano,gpt-5.4-mini,Unstructured Group Chat,6,0.536033,0.416667,0.5618,0.458333,0.133333,97.6585,52891.833333,0.008046,4.166667,11.0,3.0,10.833333,2.608333,,,0.0,1e-05,43.082283,0.536033,0.866667,3882.0,555.666667,4437.666667,0.005412,0.013458
gpt-5-nano,gpt-5.4-mini,Voting,6,0.830317,0.75,0.9,0.791667,0.07,54.404333,38493.666667,0.004345,4.0,8.0,2.0,8.0,2.0,0.75,,0.0,2.7e-05,89.622723,0.830317,0.875,4432.666667,549.166667,4981.833333,0.005796,0.010141
